created:2024-01-15 23:38:27 UTC
ephemeris_start:2024-01-15 23:02:42 UTC ephemeris_stop:2024-01-18 23:02:42 UTC step_size:60
ephemeris_source:blend
UVW
2024015230242.000 4212.3886598515 -2897.5064501258 4680.2044186171 4.7575677381 5.8722701910 -0.6453015058
4.4921575681e-07 -3.6203649519e-07 7.3509444407e-07 7.9731110293e-11 -2.9501894125e-10 1.1788201473e-06 7.7399724760e-10
-8.4559688473e-10 1.3914472620e-12 1.8290759082e-12 -4.4482480363e-10 3.8180393656e-10 -1.8139395195e-12 -7.7616474905e-13
4.7827168602e-13 2.4648096147e-13 5.4644775147e-14 1.5989548936e-09 6.4906689940e-16 -2.4829791173e-15 5.5141739761e-12
2024015230342.000 4488.5818432945 -2539.1931615395 4631.4243980449 4.4455641886 6.0672188899 -0.9801150127
4.9605144699e-07 -4.2428293357e-07 8.3625201789e-07 1.3359615960e-10 -4.7340346527e-10 1.3849335345e-06 8.6695772310e-10
-9.7805289463e-10 1.7521583462e-12 2.0298695652e-12 -4.9254911564e-10 4.4621268347e-10 -2.1487439868e-12 -8.7144798619e-13
5.2708609177e-13 4.2179663916e-13 -3.5933021866e-13 1.8315789229e-09 1.3032527648e-15 -2.9763447845e-15 5.2965749031e-12
2024015230442.000 4745.4738140967 -2169.9617434079 4562.6748365701 4.1144318592 6.2360882426 -1.3107170252
5.4580690919e-07 -4.9393548337e-07 9.5424849486e-07 2.0451213576e-10 -7.1233523941e-10 1.6172081254e-06 9.6687359148e-10
-1.1277882890e-09 2.2068189895e-12 2.2454357452e-12 -5.4332657799e-10 5.1827251091e-10 -2.5221726075e-12 -9.7403704264e-13
5.7909228943e-13 6.1276333168e-13 -8.2587117849e-13 2.0344187925e-09 2.0136359734e-15 -3.4229453118e-15 5.0476588013e-12
2024015230542.000 4981.9592853118 -1791.3988770479 4474.2510398110 3.7655873374 6.3781516878 -1.6356868371
5.9831840853e-07 -5.7126576209e-07 1.0910145700e-06 2.9384743889e-10 -1.0183226197e-09 1.8718606987e-06 1.0736847280e-09
-1.2962732198e-09 2.7612600621e-12 2.4768154263e-12 -5.9699604939e-10 5.9828106296e-10 -2.9254081027e-12 -1.0838879033e-12
6.3413699924e-13 8.1575776831e-13 -1.3332761535e-12 2.2039856344e-09 2.7589782822e-15 -3.8141951137e-15 4.7719468323e-12
2024015230642.000 5197.0198706792 -1405.1320148623 4366.5330490219 3.4005240216 6.4927953930 -1.9536259291
6.5338683060e-07 -6.5648970249e-07 1.2485395942e-06 4.0374584653e-10 -1.3954931357e-09 2.1447156153e-06 1.1872998293e-09
-1.4849879198e-09 3.4185978246e-12 2.7250571407e-12 -6.5335045148e-10 6.8645347687e-10 -3.3485606451e-12 -1.2008814948e-12
6.9200398100e-13 1.0268647440e-12 -1.8677882849e-12 2.3373554149e-09 3.5149621555e-15 -4.1415856604e-15 4.4744298284e-12
2024015230742.000 5389.7290446163 -1012.8218482653 4239.9839615511 3.0208066692 6.5795222483 -2.2631645349
7.1077432515e-07 -7.4975034370e-07 1.4288585976e-06 5.3582705008e-10 -1.8460911087e-09 2.4312847375e-06 1.3075733984e-09
-1.6954107725e-09 4.1780650938e-12 2.9911919429e-12 -7.1214098463e-10 7.8292994241e-10 -3.7810873583e-12 -1.3248463074e-12
7.5243389010e-13 1.2409173983e-12 -2.4137649361e-12 2.4322274112e-09 4.2554738675e-15 -4.3984315682e-15 4.1604734877e-12
2024015230842.000 5559.2561295430 -616.1553105364 4095.1480234016 2.6280641281 6.6379549045 -2.5629685407
7.7020885831e-07 -8.5111181418e-07 1.6340318216e-06 6.9122386541e-10 -2.3702686496e-09 2.7268432059e-06 1.4343055617e-09
-1.9290058218e-09 5.0350225225e-12 3.2762282006e-12 -7.7308082597e-10 8.8776427474e-10 -4.2121254133e-12 -1.4555500707e-12
8.1512516312e-13 1.4517090325e-12 -2.9539544057e-12 2.4869626850e-09 4.9531811531e-15 -4.5797012387e-15 3.8357282630e-12
2024015230942.000 5704.8699217313 -216.8383587796 3932.6483236976 2.2239823536 6.6678368209 -2.8517446892
8.3138833767e-07 -9.6055288918e-07 1.8661230739e-06 8.7044720198e-10 -2.9660165442e-09 3.0265106845e-06 1.5672393079e-09
-2.1872090509e-09 5.9809747825e-12 3.5811426505e-12 -8.3584951796e-10 1.0009164985e-09 -4.6307807951e-12 -1.5926964930e-12
8.7973867333e-13 1.6521027837e-12 -3.4697302134e-12 2.5006126578e-09 5.5802603918e-15 -4.6819700274e-15 3.5060326347e-12
2024015231042.000 5825.9419248536 183.4113463824 3753.1841934625 1.8102975439 6.6690348700 -3.1282459123
8.9398521229e-07 -1.0779617470e-06 2.1271765048e-06 1.0733616533e-09 -3.6290398404e-09 3.3253353316e-06 1.7060584006e-09
-2.4714138146e-09 7.0039276126e-12 3.9068709477e-12 -9.0009793601e-10 1.1222467752e-09 -5.0262935813e-12 -1.7359228162e-12
9.4590307955e-13 1.8342678753e-12 -3.9412293271e-12 2.4729358891e-09 6.1092746670e-15 -4.7031855254e-15 3.1773129757e-12
2024015231142.000 5921.9490903832 582.8718796722 3557.5282461209 1.3887870299 6.6415397758 -3.3912773775
9.5765145473e-07 -1.2031320242e-06 2.4191921546e-06 1.2991920839e-09 -4.3527419395e-09 3.6183790588e-06 1.8503860076e-09
-2.7829556178e-09 8.0888714353e-12 4.2542978083e-12 -9.6545375641e-10 1.2515108428e-09 -5.3883503584e-12 -1.8847982738e-12
1.0132208058e-12 1.9899396305e-12 -4.3476631782e-12 2.4044027345e-09 6.5139868300e-15 -4.6427150188e-15 2.8554816914e-12
2024015231242.000 5992.4760758334 979.8244401670 3346.5231028983 0.9612627949 6.5854649251 -3.6397011435
1.0220238700e-06 -1.3357602744e-06 2.7441006064e-06 1.5464086061e-09 -5.1284711976e-09 3.9008026138e-06 1.9997841561e-09
-3.1230964523e-09 9.2180432631e-12 4.6242469621e-12 -1.0315273226e-09 1.3883570415e-09 -5.7075991379e-12 -2.0388234960e-12
1.0812745013e-12 2.1105801150e-12 -4.6678679882e-12 2.2961877586e-09 6.7698678484e-15 -4.5016176455e-15 2.5463353539e-12
2024015231342.000 6037.2171425665 1372.5607212322 3121.0778142094 0.5295650028 6.5010467677 -3.8724418582
1.0867296254e-06 -1.4754448855e-06 3.1037371485e-06 1.8125432566e-09 -5.9458537148e-09 4.1679490208e-06 2.1537540321e-09
-3.4930089381e-09 1.0371090576e-11 5.0174710466e-12 -1.0979178201e-09 1.5323250538e-09 -5.9760290229e-12 -2.1974309704e-12
1.1496339092e-12 2.1875150338e-12 -4.8807725898e-12 2.1501499967e-09 6.8544476835e-15 -4.2826336003e-15 2.2554545899e-12
2024015231442.000 6055.9775871700 1759.3902953866 2882.1639388458 0.0955533161 6.3886439809 -4.0884919167
1.1513918921e-06 -1.6216864880e-06 3.4998158683e-06 2.0941133345e-09 -6.7929990245e-09 4.4154239371e-06 2.3117371280e-09
-3.8937605169e-09 1.1525511885e-11 5.4346415824e-12 -1.1642196574e-09 1.6828464510e-09 -6.1870649762e-12 -2.3599866072e-12
