utc,x_TLE,y_TLE,z_TLE,gpst
2020-03-01 00:14:42,-21220.608116615833,-234.92432723751384,15301.446273011918,2020-03-01 00:15:00.000
2020-03-01 00:29:42,-22371.9773037746,-2906.915508608967,13293.544054249978,2020-03-01 00:30:00.000
2020-03-01 00:44:42,-23121.69609506658,-5526.739663514738,11046.90971750645,2020-03-01 00:45:00.000
2020-03-01 00:59:42,-23457.65662330885,-8047.6898185456,8602.526610845798,2020-03-01 01:00:00.000
2020-03-01 01:14:42,-23375.50248884381,-10425.226034943498,6004.747523436827,2020-03-01 01:15:00.000
2020-03-01 01:29:42,-22878.596535404977,-12617.821169074115,3300.3680814741792,2020-03-01 01:30:00.000
2020-03-01 01:44:42,-21977.819136039656,-14587.714127827077,537.6746324470963,2020-03-01 01:45:00.000
2020-03-01 01:59:42,-20691.21194499471,-16301.555664019676,-2234.5064488041826,2020-03-01 02:00:00.000
2020-03-01 02:14:42,-19043.48627198093,-17730.936941380398,-4967.7335534211,2020-03-01 02:15:00.000
2020-03-01 02:29:42,-17065.417984823314,-18852.79617454689,-7614.827655842601,2020-03-01 02:30:00.000
2020-03-01 02:44:42,-14793.152145452139,-19649.703287976256,-10130.686079319077,2020-03-01 02:45:00.000
2020-03-01 02:59:42,-12267.440553148928,-20110.02649305802,-12473.019379461235,2020-03-01 03:00:00.000
2020-03-01 03:14:42,-9532.834218192078,-20227.98780079767,-14603.002688341048,2020-03-01 03:15:00.000
2020-03-01 03:29:42,-6636.85078364053,-20003.61670559113,-16485.83670022662,2020-03-01 03:30:00.000
2020-03-01 03:44:42,-3629.134338493892,-19442.612611752862,-18091.216794267297,2020-03-01 03:45:00.000
2020-03-01 03:59:42,-560.6221986183966,-18556.12710976829,-19393.711463111573,2020-03-01 04:00:00.000
2020-03-01 04:14:42,2517.269681028786,-17360.477068305485,-20373.05320182889,2020-03-01 04:15:00.000
2020-03-01 04:29:42,5553.43375570322,-15876.798838868473,-21014.346319037006,2020-03-01 04:30:00.000
2020-03-01 04:44:42,8497.8239408764,-14130.652830362744,-21308.19681415621,2020-03-01 04:45:00.000
2020-03-01 04:59:42,11302.170234647048,-12151.586446828984,-21250.769609204184,2020-03-01 05:00:00.000
2020-03-01 05:14:42,13920.652041843092,-9972.662036484484,-20843.77812636443,2020-03-01 05:15:00.000
2020-03-01 05:29:42,16310.528389646468,-7629.955185629287,-20094.410579134146,2020-03-01 05:30:00.000
2020-03-01 05:44:42,18432.72379435285,-5162.027509666545,-19015.19650110509,2020-03-01 05:45:00.000
2020-03-01 05:59:42,20252.368647954954,-2609.377122419397,-17623.81608024885,2020-03-01 06:00:00.000
2020-03-01 06:14:42,21739.2926889168,-13.869265647725232,-15942.853897448926,2020-03-01 06:15:00.000
2020-03-01 06:29:42,22868.469464938586,2581.8508017288586,-13999.497779045108,2020-03-01 06:30:00.000
2020-03-01 06:44:42,23620.40875959174,5134.960590015981,-11825.182750541768,2020-03-01 06:45:00.000
2020-03-01 06:59:42,23981.492823479304,7603.076446562798,-9455.179601851378,2020-03-01 07:00:00.000
2020-03-01 07:14:42,23944.251019459458,9944.87981476916,-6928.127415859047,2020-03-01 07:15:00.000
2020-03-01 07:29:42,23507.56626782691,12120.749545655031,-4285.509635028828,2020-03-01 07:30:00.000
2020-03-01 07:44:42,22676.805580330496,14093.394755126461,-1571.0738983130907,2020-03-01 07:45:00.000
2020-03-01 07:59:42,21463.88650959841,15827.975738463378,1169.2491116544568,2020-03-01 08:00:00.000
2020-03-01 08:14:42,19887.188263525415,17294.793998010013,3890.292767056807,2020-03-01 08:15:00.000
2020-03-01 08:29:42,17971.390951246616,18466.667811741227,6544.937399813075,2020-03-01 08:30:00.000
2020-03-01 08:44:42,15747.280591352555,19321.676610652867,9087.21771857436,2020-03-01 08:45:00.000
2020-03-01 08:59:42,13251.339011158378,19843.08915314609,11472.535258061083,2020-03-01 09:00:00.000
2020-03-01 09:14:42,10525.244690403892,20019.786867953884,13658.476316736384,2020-03-01 09:15:00.000
2020-03-01 09:29:42,7615.250917417762,19846.602397092585,15605.62924740098,2020-03-01 09:30:00.000
2020-03-01 09:44:42,4571.444150772191,19324.557499132283,17278.38206327865,2020-03-01 09:44:59.999
2020-03-01 09:59:42,1446.890155320497,18460.985595409096,18645.679094206287,2020-03-01 09:59:59.999
2020-03-01 10:14:42,-1703.3193907496093,17269.526391646254,19681.71396570391,2020-03-01 10:14:59.999
2020-03-01 10:29:42,-4823.101841671082,15769.983209853279,20366.535725537273,2020-03-01 10:29:59.999
2020-03-01 10:44:42,-7856.477041389605,13988.037857204159,20686.5457052017,2020-03-01 10:44:59.999
2020-03-01 10:59:42,-10748.691806000956,11954.822870279331,20634.864802118835,2020-03-01 10:59:59.999
2020-03-01 11:14:42,-13447.344525920944,9706.356547244632,20211.554312198954,2020-03-01 11:14:59.999
2020-03-01 11:29:42,-15903.476952865429,7282.851962635269,19423.67813231411,2020-03-01 11:29:59.999
2020-03-01 11:44:42,-18072.59987055376,4727.916749492614,18285.19985304954,2020-03-01 11:44:59.999
2020-03-01 11:59:42,-19915.620790384335,2087.665408089135,16816.714631700554,2020-03-01 11:59:59.999
2020-03-01 12:14:42,-21399.645053030134,-590.2301337231482,15045.022344972027,2020-03-01 12:14:59.999
2020-03-01 12:29:42,-22498.626577744908,-3257.5233462437086,13002.554899629107,2020-03-01 12:29:59.999
2020-03-01 12:44:42,-23193.850654281872,-5866.379845958503,10726.676265100523,2020-03-01 12:44:59.999
2020-03-01 12:59:42,-23474.23816924524,-8370.33910564086,8258.878382134826,2020-03-01 12:59:59.999
2020-03-01 13:14:42,-23336.46798078566,-10725.224198333806,5643.899297652442,2020-03-01 13:14:59.999
2020-03-01 13:29:42,-22784.921272268155,-12889.975997012993,2928.791513871822,2020-03-01 13:29:59.999
2020-03-01 13:44:42,-21831.458142430387,-14827.392602541468,161.96860360096966,2020-03-01 13:44:59.999
2020-03-01 13:59:42,-20495.042037323834,-16504.759744036557,-2607.74324678976,2020-03-01 13:59:59.999
