utc,x_TLE,y_TLE,z_TLE,gpst
2020-03-01 00:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 00:14:59.997
2020-03-01 00:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 00:29:59.997
2020-03-01 00:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 00:44:59.997
2020-03-01 00:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 00:59:59.997
2020-03-01 01:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 01:14:59.997
2020-03-01 01:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 01:29:59.997
2020-03-01 01:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 01:44:59.997
2020-03-01 01:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 01:59:59.997
2020-03-01 02:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 02:14:59.997
2020-03-01 02:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 02:29:59.997
2020-03-01 02:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 02:44:59.997
2020-03-01 02:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 02:59:59.997
2020-03-01 03:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 03:14:59.997
2020-03-01 03:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 03:29:59.997
2020-03-01 03:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 03:44:59.997
2020-03-01 03:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 03:59:59.997
2020-03-01 04:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 04:14:59.997
2020-03-01 04:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 04:29:59.997
2020-03-01 04:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 04:44:59.997
2020-03-01 04:59:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 04:59:59.997
2020-03-01 05:14:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 05:14:59.997
2020-03-01 05:29:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 05:29:59.997
2020-03-01 05:44:42,-14907.944735926032,-19615.821329912393,-10021.6876881673,2020-03-01 05:44:59.997
