utc,gpst,gpst_datetime,x_TLE,y_TLE,z_TLE
2020-03-01 00:05:00,1267056318.0,2020-03-01 00:05:37,-20271.16088097982,1498.2355799047086,16455.325063237822
2020-03-01 00:10:00,1267056618.0,2020-03-01 00:10:37,-20780.12939716307,605.4414261809648,15875.508930287431
2020-03-01 00:15:00,1267056918.0,2020-03-01 00:15:37,-21247.45636777128,-288.5661606134779,15263.873370509898
2020-03-01 00:20:00,1267057218.0,2020-03-01 00:20:37,-21672.233782756535,-1181.9960700974675,14621.66471153432
2020-03-01 00:25:00,1267057518.0,2020-03-01 00:25:37,-22053.643892181026,-2073.0609527147717,13950.191440555254
2020-03-01 00:30:00,1267057818.0,2020-03-01 00:30:37,-22390.960795493032,-2959.9812603706964,13250.82105566363
2020-03-01 00:35:00,1267058118.0,2020-03-01 00:35:37,-22683.551781762584,-3840.9892435910842,12524.976780989795
2020-03-01 00:40:00,1267058418.0,2020-03-01 00:40:37,-22930.878419002263,-4714.3328925781625,11774.134157763872
2020-03-01 00:45:00,1267058718.0,2020-03-01 00:45:37,-23132.497391837052,-5578.279809987963,10999.817523753487
2020-03-01 00:50:00,1267059018.0,2020-03-01 00:50:37,-23288.061087896716,-6431.1210037459105,10203.59639382654
2020-03-01 00:55:00,1267059318.0,2020-03-01 00:55:37,-23397.31793439871,-7271.174588794381,9387.081754573448
2020-03-01 01:00:00,1267059618.0,2020-03-01 01:00:37,-23460.112487440587,-8096.789387269666,8551.922286049428
2020-03-01 01:05:00,1267059918.0,2020-03-01 01:05:37,-23476.385277537647,-8906.348417286055,7699.800523716451
2020-03-01 01:10:00,1267060218.0,2020-03-01 01:10:37,-23446.17241590536,-9698.272261201379,6832.428973627449
2020-03-01 01:15:00,1267060518.0,2020-03-01 01:15:37,-23369.60496689618,-10471.02230498608,5951.546193764773
2020-03-01 01:20:00,1267060818.0,2020-03-01 01:20:37,-23246.908092850026,-11223.103841083725,5058.91285424944
2020-03-01 01:25:00,1267061118.0,2020-03-01 01:25:37,-23078.39997840178,-11953.069027940575,4156.3077888703665
2020-03-01 01:30:00,1267061418.0,2020-03-01 01:30:37,-22864.490542002808,-12659.519700185447,3245.5240500475284
2020-03-01 01:35:00,1267061718.0,2020-03-01 01:35:37,-22605.679943055547,-13341.11002423886,2328.364979003499
2020-03-01 01:40:00,1267062018.0,2020-03-01 01:40:37,-22302.556893636025,-13996.548994988623,1406.6403021394724
2020-03-01 01:45:00,1267062318.0,2020-03-01 01:45:37,-21955.796784240596,-14624.602769822985,482.16226509100125
2020-03-01 01:50:00,1267062618.0,2020-03-01 01:50:37,-21566.159633459374,-15224.096837351912,-443.25818620505936
