utc,x_TLE,y_TLE,z_TLE
2020-03-01 00:04:59.990,-20271.16088097982,1498.2355799047086,16455.325063237822
2020-03-01 00:09:59.990,-20780.12939716307,605.4414261809648,15875.508930287431
2020-03-01 00:14:59.990,-21247.45636777128,-288.5661606134779,15263.873370509898
2020-03-01 00:19:59.990,-21672.233782756535,-1181.9960700974675,14621.66471153432
2020-03-01 00:24:59.990,-22053.643892181026,-2073.0609527147717,13950.191440555254
2020-03-01 00:29:59.990,-22390.960795493032,-2959.9812603706964,13250.82105566363
2020-03-01 00:34:59.990,-22683.551781762584,-3840.9892435910842,12524.976780989795
2020-03-01 00:39:59.990,-22930.878419002263,-4714.3328925781625,11774.134157763872
2020-03-01 00:44:59.990,-23132.497391837052,-5578.279809987963,10999.817523753487
2020-03-01 00:49:59.990,-23288.061087896716,-6431.1210037459105,10203.59639382654
2020-03-01 00:54:59.990,-23397.31793439871,-7271.174588794381,9387.081754573448
2020-03-01 00:59:59.989,-23460.112487440587,-8096.789387269666,8551.922286049428
2020-03-01 01:04:59.989,-23476.385277537647,-8906.348417286055,7699.800523716451
2020-03-01 01:09:59.989,-23446.17241590536,-9698.272261201379,6832.428973627449
2020-03-01 01:14:59.989,-23369.60496689618,-10471.02230498608,5951.546193764773
2020-03-01 01:19:59.989,-23246.908092850026,-11223.103841083725,5058.91285424944
2020-03-01 01:24:59.989,-23078.39997840178,-11953.069027940575,4156.3077888703665
2020-03-01 01:29:59.989,-22864.490542002808,-12659.519700185447,3245.5240500475284
2020-03-01 01:34:59.989,-22605.679943055547,-13341.11002423886,2328.364979003499
2020-03-01 01:39:59.989,-22302.556893636025,-13996.548994988623,1406.6403021394724
2020-03-01 01:44:59.989,-21955.796784240596,-14624.602769822985,482.16226509100125
2020-03-01 01:49:59.989,-21566.159633459374,-15224.096837351912,-443.25818620505936
2020-03-01 01:54:59.989,-21134.48787176197,-15793.918018653556,-1367.815167079838
2020-03-01 01:59:59.989,-20661.703969878454,-16333.016299792132,-2289.711549537981
2020-03-01 02:04:59.989,-20148.807922430635,-16840.40649501453,-3207.16258301677
