,UTC,x,y,z,xv,yv,zv
0,2018-12-31 21:59:42,-4502025.798598909,-2583934.9169322746,4498380.547138599,-4425.868124198085,-2325.902060176387,-5741.668399552481
1,2018-12-31 21:59:47,-4524085.918911266,-2595524.703210823,4469603.106654832,-4398.157404611707,-2310.000577961443,-5769.2782819138965
2,2018-12-31 21:59:52,-4546007.14739261,-2607034.804385948,4440688.060148358,-4370.311533719053,-2294.028100258251,-5796.710667113258
3,2018-12-31 21:59:57,-4567788.810418878,-2618464.8667038716,4411636.297223346,-4342.331365220454,-2277.9851169109893,-5823.964708704318
4,2018-12-31 22:00:02,-4589430.238645177,-2629814.538865721,4382448.711702716,-4314.217757079763,-2261.8721200365026,-5851.039565637492
5,2018-12-31 22:00:07,-4610930.767027039,-2641083.4720388674,4353126.201601056,-4285.971571497552,-2245.6896040152674,-5877.934402302121
6,2018-12-31 22:00:12,-4632289.734841532,-2652271.3198682265,4323669.669097332,-4257.593674882022,-2229.4380654806255,-5904.648388568691
7,2018-12-31 22:00:17,-4653506.485708214,-2663377.7384874844,4294080.020507354,-4229.084937817671,-2213.1180033061837,-5931.180699830486
8,2018-12-31 22:00:22,-4674580.367609945,-2674402.3865302643,4264358.166256084,-4200.446235031932,-2196.729918591252,-5957.530517044159
9,2018-12-31 22:00:27,-4695510.732913496,-2685344.925141222,4234505.020849707,-4171.678445360068,-2180.27431464432,-5983.697026768714
10,2018-12-31 22:00:32,-4716296.938390021,-2696205.0179870324,4204521.50284753,-4142.782451708647,-2163.7516969646076,-6009.679421202495
11,2018-12-31 22:00:37,-4736938.3452352965,-2706982.3312673094,4174408.5348336976,-4113.759141018008,-2147.162573221774,-6035.476898217797
12,2018-12-31 22:00:42,-4757434.31908981,-2717676.53372539,4144167.0433887383,-4084.609404224106,-2130.5074532339468,-6061.08866139282
13,2018-12-31 22:00:47,-4777784.230058637,-2728287.2966590296,4113797.959060968,-4055.334136220225,-2113.7868489442685,-6086.5139200408075
14,2018-12-31 22:00:52,-4797987.452731133,-2738814.2939309534,4083302.2163377404,-4025.93423581902,-2097.001274396214,-6111.75188923622
15,2018-12-31 22:00:57,-4818043.366200443,-2749257.2019793103,4052680.7536165845,-3996.4106057152912,-2080.1512457079402,-6136.801789838045
