MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
52274.9165162037,3909526.578553526,-5000573.305445223,-2400090.4793064226,1961.2693278465233,-1871.0701130162277,7174.927149289065,-20.707040379459265,-122.29183803851964,13155164.151811598,29413530.170889705,58738153.606517926,-17552.868570174935,-17587.460234147868,0.0,0.0
52274.916863425926,3966108.0141631197,-5053822.6371258125,-2183501.569047288,1810.4517358553076,-1678.5281434674282,7262.954990004162,-18.766528169617295,-122.31242099693215,13154755.218434025,29422853.70155003,58745649.089641586,-19374.21594627369,-19418.17971064785,2.6719398386776447,2.6719398386776447
52274.91721064815,4018132.0703558605,-5101264.679054005,-1964396.4370993213,1657.4730468065952,-1483.9546913709873,7342.65740793515,-16.825406938155655,-122.33536253536245,13154313.12164432,29431978.118618615,58753099.24018642,-21044.046265576548,-21096.574347253707,6.80005269497633,6.80005269497633
52274.91755787037,4065536.546499175,-5142841.851854009,-1743026.4025136963,1502.5093921913294,-1287.574636232863,7413.932389805374,-14.88369246369303,-122.360356516116,13153836.703732364,29440888.19904929,58760497.41307611,-22554.37431320318,-22614.54806587246,12.866230323910713,12.866230323910713
52274.917905092596,4108264.572927771,-5178503.365689168,-1519645.6921914048,1345.7397451165898,-1089.6155699137487,7476.687888483814,-12.941400689028669,-122.38711806455795,13153325.009124907,29449569.666792743,58767836.78643095,-23897.93518682808,-23964.637903573916,20.861679412424564,20.861679412424564
52274.91825231481,4146264.686381487,-5208205.295286984,-1294511.1458953216,1187.345663440896,-890.3074911491615,7530.841980426122,-10.998547845756283,-122.4153801422213,13152777.289080234,29458009.043718323,58775110.388650246,-25068.220956689056,-25140.302834714937,30.751904271543026,30.751904271543026
52274.918599537035,4179490.906584423,-5231910.645908533,-1067881.907262455,1027.511086750191,-689.8825257082508,7576.32301730689,-9.055150480374442,-122.44489045851898,13152193.007253481,29466193.697623163,58782311.11108915,-26059.514010732848,-26136.16786112791,42.68546474352479,42.68546474352479
52274.91894675926,4207902.806518394,-5249589.416214928,-840019.1108151885,866.4220640400528,-488.5745810599004,7613.069809863047,-7.111225468732515,-122.47540872718825,13151571.849972568,29474112.122080736,58789431.672587946,-26866.91675570436,-26947.66264844869,56.31729329004884,56.31729329004884
52274.91929398148,4231465.564393764,-5261218.643537758,-611185.5719696009,704.2664559884568,-286.6189896413046,7641.031632841367,-5.166790100249945,-122.50670420276533,13150913.723290872,29481753.050167974,58796464.69105046,-27486.377682574337,-27570.861987313147,71.607007432729,71.607007432729
52274.919641203705,4250150.023273681,-5266782.444864365,-381645.4690450232,541.2338057427119,-84.25233365747084,7660.168251019005,-3.2218620981039616,-122.53855333817043,13150218.760964561,29489105.06106251,58803402.652747154,-27914.7134417674,-28002.234798999893,88.93062127754092,88.93062127754092
52274.91998842593,4263932.732356491,-5266272.049000886,-151664.02727065457,377.51514359714884,118.28779972972075,7670.450196134639,-1.2764596857137953,-122.57073766272657,13149487.325345114,29496157.949295998,58810237.93517897,-28149.62694537575,-28238.831489229382,107.92150983586907,107.92150983586907
52274.920335648145,4272795.992878957,-5259685.82362777,78492.80720707346,213.30262143864365,320.7632678352177,7671.858900046724,0.6693984159961823,-122.60304170306614,13148720.0174531,29502903.03226552,58816962.74234986,-28189.72121375549,-28278.896448743275,127.71067071706057,127.71067071706057
52274.92068287037,4276727.880670236,-5247029.282758677,308558.69332086423,48.78922900910453,522.9357307880464,7664.386633978771,2.6156929689030504,-122.63525101280655,13147917.668887736,29509332.321257282,58823569.18950799,-28034.50917348465,-28121.765388749438,147.73777709156275,147.73777709156275
52274.92103009259,4275722.273954266,-5228315.09280011,538267.2230780775,-115.83142050675099,724.566909461241,7648.036512953465,4.5624042093156,-122.6671501798305,13147081.34748489,29515438.313866105,58830049.260432236,-27684.41894178158,-27767.734701101064,167.78540486469865,167.78540486469865
52274.921377314815,4269778.863151707,-5203563.061210426,767352.2425591272,-280.3653139147783,925.4188480600387,7622.822557128352,6.509511775143224,-122.69852083984925,13146212.348972064,29521214.24552806,58836394.878056414,-27140.79489965836,-27217.870746304478,187.60741228982806,187.60741228982806
52274.92172453704,4258903.163503571,-5172800.127412517,995548.1849154272,-444.61832111620373,1125.2542443339928,7588.769811540976,8.456994722278395,-122.72913962523205,13145312.203982085,29526654.909209754,58842597.83346721,-26405.894133267473,-26474.20014388541,206.2285389713943,206.2285389713943
52274.92207175926,4243106.511283553,-5136060.334033752,1222590.4003699527,-608.3965711243404,1323.836901042212,7545.914346068836,10.404831518901252,-122.75877601647201,13144382.671463745,29531756.923262186,58848649.82467702,-25482.87858686676,-25540.52947817327,222.53503064066172,222.53503064066172
52274.922418981485,4222406.050719843,-5093384.788416212,1448215.4842192854,-771.5067445565865,1520.9321156589795,7494.303054775991,12.353000033446714,-122.78719005760372,13143425.730454473,29536517.71708197,58854542.501381926,-24375.802784431562,-24422.21429673172,236.1027343198657,236.1027343198657
52274.9227662037,4196824.713326264,-5044821.6119763935,1672161.5978368751,-933.7562620346298,1716.306926315366,7433.993500943089,14.301477481923607,-122.81412986103967,13142443.568169635,29540934.797135536,58860267.533593364,-23089.597191364577,-23124.92000418768,246.7605996504426,246.7605996504426
52274.923113425924,4166391.1978740515,-4990425.887483999,1894168.7896761748,-1094.9534846267836,1909.7303310322466,7365.053857299312,16.250240369643922,-122.8393288450068,13141438.577869046,29545005.69584017,58865816.58721179,-21630.047118420673,-21654.241024416737,254.23653366789222,254.23653366789222
52274.92346064815,4131139.9330410333,-4930259.594518294,2113979.3132765656,-1254.9079351159385,2100.973547230923,7287.562903957686,18.199264434111438,-122.86250270410576,13140413.347422296,29548728.42546061,58871181.37238928,-20003.76745103419,-20016.57583050501,258.62689680606127,258.62689680606127
52274.92380787037,4091111.0404237653,-4864391.539892654,2331337.941269217,-1413.4305774183406,2289.8103683794693,7201.610011559615,20.148524551694408,-122.88334595486845,13139370.654196817,29552102.139457468,58876353.62909415,-18218.17316823485,-18219.47706563025,260.0708399489522,260.0708399489522
52274.924155092594,4046350.2902199985,-4792897.27026757,2545992.2883840897,-1570.334108199201,2476.0175339873167,7107.294983221356,22.097994744117518,-122.90152793974757,13138313.456719235,29555127.009254932,58881325.13274278,-16281.4457525087,-16271.268037139636,258.49566261842847,258.49566261842847
52274.92450231482,3996909.0393979964,-4715858.986006868,2757693.1164597813,-1725.4331830358167,2659.375021498611,7004.727873170063,24.047648053189256,-122.9166883555221,13137244.882794581,29557803.875628714,58886087.72328787,-14202.495823769119,-14181.181428667542,254.13322545960546,254.13322545960546
