MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
52274.9165162037,3909526.578553526,-5000573.305445223,-2400090.4793064226,1961.2693278465233,-1871.0701130162277,7174.927149289065,-20.707040379459265,-122.29183803851964,6779681.249300636,29413530.170889705,58738153.606517926,-17602.43417810092,-17637.133882892256,0.0
52274.916863425926,3966108.0141631197,-5053822.6371258125,-2183501.569047288,1810.4517358553076,-1678.5281434674282,7262.954990004162,-18.766528169617295,-122.31242099693215,6778814.942041288,29422853.70155003,58745649.089641586,-19428.935603583002,-19473.051030946142,7.869611389935017
52274.91721064815,4018132.0703558605,-5101264.679054005,-1964396.4370993213,1657.4730468065952,-1483.9546913709873,7342.65740793515,-16.825406938155655,-122.33536253536245,6777954.129082856,29431978.118618615,58753099.24018642,-21103.493600334714,-21156.209888258036,16.761944953352213
52274.91755787037,4065536.546499175,-5142841.851854009,-1743026.4025136963,1502.5093921913294,-1287.574636232863,7413.932389805374,-14.88369246369303,-122.360356516116,6777099.575449391,29440888.19904929,58760497.41307611,-22618.100019900794,-22678.494470606398,27.138986315578222
52274.917905092596,4108264.572927771,-5178503.365689168,-1519645.6921914048,1345.7397451165898,-1089.6155699137487,7476.687888483814,-12.941400689028669,-122.38711806455795,6776252.065645365,29449569.666792743,58767836.78643095,-23965.469058616247,-24032.415102004205,38.96522909775376
52274.91825231481,4146264.686381487,-5208205.295286984,-1294511.1458953216,1187.345663440896,-890.3074911491615,7530.841980426122,-10.998547845756283,-122.4153801422213,6775412.400512096,29458009.043718323,58775110.388650246,-25139.074027167,-25211.408751239134,52.18417204916477
52274.918599537035,4179490.906584423,-5231910.645908533,-1067881.907262455,1027.511086750191,-689.8825257082508,7576.32301730689,-9.055150480374442,-122.44489045851898,6774581.395753834,29466193.697623163,58782311.11108915,-26133.18079575527,-26210.09541320041,66.9393680728972
52274.91894675926,4207902.806518394,-5249589.416214928,-840019.1108151885,866.4220640400528,-488.5745810599004,7613.069809863047,-7.111225468732515,-122.47540872718825,6773759.886022233,29474112.122080736,58789431.672587946,-26942.877584601967,-27023.898683628,82.87967972457409
52274.91929398148,4231465.564393764,-5261218.643537758,-611185.5719696009,704.2664559884568,-286.6189896413046,7641.031632841367,-5.166790100249945,-122.50670420276533,6772948.7166555775,29481753.050167974,58796464.69105046,-27564.10110831202,-27648.888532403646,99.95990378037095
52274.919641203705,4250150.023273681,-5266782.444864365,-381645.4690450232,541.2338057427119,-84.25233365747084,7660.168251019005,-3.2218620981039616,-122.53855333817043,6772148.747223273,29489105.06106251,58803402.652747154,-27993.658718224753,-28081.51821390161,118.54038743302226
52274.91998842593,4263932.732356491,-5266272.049000886,-151664.02727065457,377.51514359714884,118.28779972972075,7670.450196134639,-1.2764596857137953,-122.57073766272657,6771360.84889634,29496157.949295998,58810237.93517897,-28229.246560100408,-28318.814234298814,138.23060616105795
52274.920335648145,4272795.992878957,-5259685.82362777,78492.80720707346,213.30262143864365,320.7632678352177,7671.858900046724,0.6693984159961823,-122.60304170306614,6770585.911917819,29502903.03226552,58816962.74234986,-28269.463463494198,-28359.015251849727,158.1558250784874
52274.92068287037,4276727.880670236,-5247029.282758677,308558.69332086423,48.78922900910453,522.9357307880464,7664.386633978771,2.6156929689030504,-122.63525101280655,6769824.835849074,29509332.321257282,58823569.18950799,-28113.820770648785,-28201.456349954162,177.7550895512104
52274.92103009259,4275722.273954266,-5228315.09280011,538267.2230780775,-115.83142050675099,724.566909461241,7648.036512953465,4.5624042093156,-122.6671501798305,6769078.534512423,29515438.313866105,58830049.260432236,-27762.74763827529,-27846.43668098304,196.81373600289226
52274.921377314815,4269778.863151707,-5203563.061210426,767352.2425591272,-280.3653139147783,925.4188480600387,7622.822557128352,6.509511775143224,-122.69852083984925,6768347.927881274,29521214.24552806,58836394.878056414,-27217.59211564229,-27295.018734173613,215.08175141364336
52274.92172453704,4258903.163503571,-5172800.127412517,995548.1849154272,-444.61832111620373,1125.2542443339928,7588.769811540976,8.456994722278395,-122.72913962523205,6767633.950289185,29526654.909209754,58842597.83346721,-26480.617576880326,-26549.21784915449,231.57259549573064
52274.92207175926,4243106.511283553,-5136060.334033752,1222590.4003699527,-608.3965711243404,1323.836901042212,7545.914346068836,10.404831518901252,-122.75877601647201,6766937.545998131,29531756.923262186,58848649.82467702,-25554.99485223105,-25612.86005998911,245.19196370989084
52274.922418981485,4222406.050719843,-5093384.788416212,1448215.4842192854,-771.5067445565865,1520.9321156589795,7494.303054775991,12.353000033446714,-122.78719005760372,6766259.664088129,29536517.71708197,58854542.501381926,-24444.789914723628,-24491.34698571869,255.5617745630443
52274.9227662037,4196824.713326264,-5044821.6119763935,1672161.5978368751,-933.7562620346298,1716.306926315366,7433.993500943089,14.301477481923607,-122.81412986103967,6765601.250610775,29540934.797135536,58860267.533593364,-23154.94719395762,-23190.371001902164,262.5379486195743
52274.923113425924,4166391.1978740515,-4990425.887483999,1894168.7896761748,-1094.9534846267836,1909.7303310322466,7365.053857299312,16.250240369643922,-122.8393288450068,6764963.251460194,29545005.69584017,58865816.58721179,-21691.26841872377,-21715.523367332167,265.84522783756256
52274.92346064815,4131139.9330410333,-4930259.594518294,2113979.3132765656,-1254.9079351159385,2100.973547230923,7287.562903957686,18.199264434111438,-122.86250270410576,6764346.606873065,29548728.42546061,58871181.37238928,-20060.387272689073,-20073.20968178178,265.587099339813
52274.92380787037,4091111.0404237653,-4864391.539892654,2331337.941269217,-1413.4305774183406,2289.8103683794693,7201.610011559615,20.148524551694408,-122.88334595486845,6763752.2531591635,29552102.139457468,58876353.62909415,-18269.73982712669,-18271.008421192808,261.92854676768184
52274.924155092594,4046350.2902199985,-4792897.27026757,2545992.2883840897,-1570.334108199201,2476.0175339873167,7107.294983221356,22.097994744117518,-122.90152793974757,6763181.122126226,29555127.009254932,58881325.13274278,-16327.530852491625,-16317.26325478673,254.8172315210104
52274.92450231482,3996909.0393979964,-4715858.986006868,2757693.1164597813,-1725.4331830358167,2659.375021498611,7004.727873170063,24.047648053189256,-122.9166883555221,6762634.137812205,29557803.875628714,58886087.72328787,-14242.696343011636,-14221.230034387045,244.5081824362278
52274.924849537034,3942844.175346874,-4633365.432105426,2966194.6394524416,-1878.5446711625682,2839.66632900114,6894.028859384432,25.997456442994434,-122.92843186697054,6762112.211884411,29560134.42782075,58890633.3459591,-12024.862269651238,-11993.391634285637,231.7402615211904
52274.92519675926,3884218.042214774,-4545511.7959441235,3171254.8264474836,-2029.4879484697074,3016.6787598565475,6775.328054441526,27.947390684160155,-122.93632196412845,6761616.245175481,29562121.1592279,58894954.03865899,-9684.299735377204,-9644.623738037428,216.93365801870823
52274.92554398148,3821098.3607165175,-4452399.582959116,3372635.6996723535,-2178.085090375348,3190.2036579196774,6648.76527414758,29.897420248915182,-122.9398736021036,6761147.120764952,29563766.85531512,58899041.99294525,-7231.876789105647,-7185.188425987171,199.75654500350356
52274.925891203704,3753558.149960995,-4354136.4968839735,3570103.6145089124,-2324.1610085452994,3360.036665782282,6514.489924259569,31.847513022362982,-122.93854444667805,6760705.704966511,29565074.881161537,58902889.546262704,-4679.007269682541,-4625.658657790024,179.7542478442192
52274.92623842593,3681675.6333284457,-4250836.3005494,3763429.554508443,-2467.5437762322026,3525.9780920293188,6372.660871037227,33.797635184776226,-122.9317243596537,6760292.845342072,29566050.185170967,58906489.20006092,-2037.5965490780652,-1977.9951752848835,156.44055412337184
52274.92658564815,3605534.1393126906,-4142618.676314217,3952389.4064073986,-2608.065014072572,3687.833218001836,6223.446045604764,35.747750913727465,-122.9187227182657,6759909.368872845,29566698.821990356,58909833.63656262,680.0151676912744,745.1277366314778,129.11732452362776
52274.926932870374,3525221.994971522,-4029609.068885943,4136764.223144355,-2745.560049311516,3845.4123802100876,6067.02202117644,37.6978220282221,-122.89875289479943,6759556.070076641,29567026.281844158,58912915.82308667,3461.1118745503218,3530.8138982341284,98.15783316642046
52274.92728009259,3440832.409581291,-3911938.5401702533,4316340.482878563,-2879.8679523543265,3998.531012596081,5903.5738449623805,39.64780752046641,-122.87091336277233,6759233.710453268,29567036.91230702,58915729.0177821,6292.662812330153,6365.383745333829,66.15221863240004
52274.92762731481,3352463.361857153,-3789743.60778891,4490910.344007867,-3010.831640126868,4147.009853603887,5733.295011284925,41.597663003744096,-122.83416414119169,6758943.018704287,29566734.788750697,58918266.768602476,9161.38524598479,9235.017059469044,36.39328119903803
52274.92797453704,3260217.4846853185,-3663166.0842723297,4660271.893187073,-3138.2981178961018,4290.675338369105,5556.387396417076,43.547339975272806,-122.78729740648653,6758684.6968470765,29566125.417570792,58920522.86092109,12053.808519537964,12126.543560456794,10.330278731882572
52274.92832175926,3164201.9330400955,-3532352.8974368996,4824229.397348959,-3262.118880219088,4429.360050009703,5373.060946646487,45.49678505382074,-122.72890046125765,6758459.421932734,29565216.98884071,58922491.30339119,14956.339377208596,15026.494781680665,-12.749742314219475
52274.92866898148,3064528.246964588,-3397455.900707313,4982593.533726092,-3382.150218150994,4562.903020117854,5183.533045424571,47.445938904820125,-122.6573085786031,6758267.83865338,29564019.45107399,58924166.39314073,17855.327955027344,17921.486782710203,-35.11422707885504
52274.92901620371,2961312.205422616,-3258631.6806409294,5135181.605874097,-3498.2531765831845,4691.149729307114,4988.027905259627,49.394734823892186,-122.5705444448599,6758110.548793227,29562541.726950645,58925542.80845927,20737.134197824256,20798.772345673056,-58.26034816354513
52274.92936342592,2854673.685708128,-3116041.3647053987,5281817.742694067,-3610.2934151220043,4813.951962939012,4786.776465094595,51.34309678047538,-122.46623938017095,6757988.1020763405,29560790.485770587,58926615.68930547,23588.1942123405,23645.159085695683,-80.52506192401052
52274.929710648146,2744736.523829845,-2969850.4269524477,5422333.106454749,-3718.1414463821106,4931.168000635886,4580.01654204521,53.29093692516697,-122.34152965208614,6757901.003318759,29558772.595603768,58927380.5757417,26395.086273020755,26447.086830283522,-99.67620346322656
52274.93005787037,2631628.364363531,-2820228.4957690355,5556566.091816475,-3821.673034880006,5042.663072510706,4367.992478063694,55.23815224091542,-122.19291837073125,6757849.719924786,29556496.96840654,58927833.343299225,29144.596075450154,29191.254402103023,-115.44902053102851
52274.93040509259,2515480.4969991394,-2667349.131073472,5684362.514857207,-3920.7692840821965,5148.309573668822,4150.954531752486,57.1846201759092,-122.01608848719512,6757834.674410766,29553973.385004483,58927970.26872186,31823.78136773211,31864.658383378504,-128.344177108258
52274.930752314816,2396427.6983238966,-2511389.613273176,5805575.781097708,-4015.3166905089483,5247.9871552567065,3929.158514972822,59.13019240660555,-121.80564580690897,6757856.239780162,29551211.971301273,58927788.07081583,34420.03499293384,34454.360802158866,-138.83079871162772
52274.93109953704,2274608.065559346,-2352530.723903245,5920067.053528057,-4105.207273927551,5341.582802141227,3702.865412465654,61.07468620176693,-121.5547594087537,6757914.739612227,29548222.928436518,58927283.91017116,36921.14633339501,36947.856054837735,-147.44383130967617
52274.931446759256,2150162.8561442327,-2190956.5236917688,6027705.3926331485,-4190.338566975092,5428.990848230573,3472.3411086499273,63.017871921827684,-121.25464832856173,6758010.436627708,29545015.8554352,58926455.48919004,39315.360785748315,39333.72739467816,-154.663150947541
52274.93179398148,2023236.3144266033,-2026854.1325053843,6128367.911420335,-4270.613799123295,5510.113136313616,3237.856167252054,64.95945489941639,-120.8938326729785,6758143.5410576435,29541600.77802517,58925300.97951495,41591.43680369325,41601.25609511929,-161.62411645054817
52274.9321412037,1893975.4983256818,-1860413.5011670953,6221939.902447034,-4345.942195860465,5584.859057384124,2999.6853410541185,66.89904816064774,-120.45701275911381,6758314.203158685,29537988.202970468,58923819.08747782,43738.70049765407,43740.183482849854,-169.8684866093099
52274.932488425926,1762530.0997844406,-1691827.1870222082,6308314.958849349,-4416.239014026949,5653.145469504311,2758.1072731997006,68.83613029485872,-119.92334304487878,6758522.510361265,29534188.22943396,58922009.07909125,45747.097299489295,45740.496346849686,-180.21620067209005
52274.93283564815,1629052.2619302208,-1521290.1257947858,6387395.088371207,-4481.42555924582,5714.896914142082,2513.404272796375,70.76997816392087,-119.2636846334924,6758768.486934807,29530211.410421737,58919870.78301281,47607.240449333796,47592.38940283078,-193.5863228701055
52274.93318287037,1493696.3967540448,-1348999.4007086232,6459090.8193934215,-4541.429250935244,5770.045755607229,2265.8617490260167,72.69955504408006,-118.43606111650836,6759052.09684265,29526068.564375244,58917404.56563045,49310.45598269547,49286.89506615384,-211.46332205832005
52274.933530092596,1356619.0022715847,-1175154.0086086942,6523321.277962847,-4596.183611305536,5818.532050919387,2015.76776274322,74.62331580901467,-117.37779762475108,6759373.229099848,29521769.344862293,58914611.45842295,50848.82440890434,50816.030807676834,-234.48675813153386
52274.93387731481,1217978.479891611,-999954.6283961062,6580014.273821452,-4645.628259640606,5860.303479323073,1763.412800774484,76.53884836950216,-115.99117832925943,6759731.702289199,29517321.751236413,58911493.11833448,52215.218184692894,52172.82110062625,-262.02351367101073
52274.934224537035,1077934.9484468114,-823603.3981032274,6629106.363435997,-4689.7089301320975,5895.31533098793,1509.0896479211274,78.44216732228543,-114.11555369247726,6760127.257387587,29512732.13330239,58908051.88982804,53403.33536086801,53350.897886030674,-291.7108714915812
52274.93457175926,936650.0657968655,-646303.6764598684,6670542.920026465,-4728.377634117028,5923.53067621307,1253.0932296852418,80.32620118720803,-111.46875109895953,6760559.565424561,29508006.682569206,58904290.73767077,54407.7287514813,54344.25670134692,-320.77111089229584
52274.93491898148,794286.8281144968,-468259.81479679374,6704278.1895980695,-4761.592777658008,5944.9205383352855,995.7200481884023,82.17719330612114,-107.5121124354992,6761028.2295485195,29503152.20086496,58900213.22832954,55223.830903849404,55147.580235801084,-347.12228233367205
52274.935266203705,651009.3899076869,-289676.91353841964,6730275.330969922,-4789.318982701587,5959.463732112557,737.2677543430854,83.96493098609743,-101.10561694003799,6761532.783288907,29498174.017012395,58895823.54438012,55847.97464800772,55754.32666796117,-365.3688113465905
52274.93561342593,506982.8719507051,-110760.59349081368,6748506.45180567,-4811.527103354928,5967.146899292778,478.03522815526554,85.61181041344796,-89.5578121107328,6762072.694335159,29493076.431707963,58891126.450801566,56277.40898008127,56148.85234098212,-359.4027584902942
52274.935960648145,362373.17291081126,68283.24618593749,6758952.639643535,-4828.194571422106,5967.9648768111165,218.32218367964393,86.88630604018748,-66.63133114861284,6762647.372935036,29487866.08312383,58886127.221018046,56510.31022489514,56283.03886181176,-282.47047870606184
52274.93630787037,217346.76600363915,247248.67418481075,6761603.974928728,-4839.305406255179,5961.920616178722,-41.571739078631154,87.21884569614501,-28.633664675711877,6763256.172710752,29482551.229058754,58880831.6288771,56545.78873172911,56144.55296169388,-124.72265445441008
52274.93665509259,72070.513699295,425929.9648244519,6756459.519042972,-4844.8499140123,5949.024768462066,-301.3472973118532,86.34332146730338,2.95513524272688,6763898.379269067,29477138.28933865,58875246.04670449,56383.89115934128,55965.981294615456,-118.79343988373876
52274.937002314815,-73288.52868148487,604121.8248555025,6743527.310335874,-4844.824646591045,5929.295678385099,-560.7055544163422,84.84245946604214,19.310070504201473,6764573.215510473,29471631.908342794,58869377.39797953,56025.59773242985,55670.22834532174,-185.3082197010517
52274.93734953704,-218563.29490537924,781619.6323121531,6722824.342153047,-4839.232540261078,5902.759558234136,-819.3481858859541,83.11399234219141,27.862387056940896,6765279.839338212,29466036.71538037,58863233.17605122,55472.81506639793,55170.11909826434,-234.2279385253787
52274.93769675926,-363586.9044767306,958219.6662455689,6694376.548870421,-4828.082949933906,5869.450426972982,-1076.9779051430494,81.29269019946486,32.87600503823084,6766017.358414683,29460357.34715106,58856821.31460322,54728.36405254581,54465.87577616945,-262.4778351224959
52274.938043981485,-508192.8532337689,1133719.3441950798,6658218.757920955,-4811.3917206729675,5829.410121213228,-1333.2987758231973,79.42664729330042,36.10510421806974,6766784.822131351,29454599.13833762,58850150.25621122,53795.963826759245,53565.8909325369,-275.3425700478256
