MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
52274.9165162037,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0987947305194365e-11,9.48113384183005e-12,0.0
52274.916863425926,-2.6719398386776447,-1.3359699193388224,-1.3359699193388224,8.934701799497124e-14,4.467350899748562e-14,4.467350899748562e-14,1.1176791796222874e-11,9.625286576060409e-12,4.467350899748562e-14
52274.91721064815,-6.80005269497633,-3.157330844551325,-3.157330844551325,2.272801147229812e-13,1.0552837584599485e-13,1.0552837584599485e-13,1.1355387088673131e-11,9.755564844553023e-12,1.0552837584599485e-13
52274.91755787037,-12.866230323910713,-5.584555714391172,-5.584555714391172,4.2983413048477883e-13,1.86568450059389e-13,1.86568450059389e-13,1.1525664872680786e-11,9.871566994010515e-12,1.86568450059389e-13
52274.917905092596,-20.861679412424564,-8.63998045399785,-8.63998045399785,6.966332791982812e-13,2.8851454367057854e-13,2.8851454367057854e-13,1.1686789160422185e-11,9.973070245942303e-12,2.8851454367057854e-13
52274.91825231481,-30.751904271543026,-12.32530109025538,-12.32530109025538,1.0264495572765884e-12,4.113989083629027e-13,4.113989083629027e-13,1.1837946671898237e-11,1.0060047516798753e-11,4.113989083629027e-13
52274.918599537035,-42.68546474352479,-16.662467326436722,-16.662467326436722,1.4241698539463346e-12,5.559312473522204e-13,5.559312473522204e-13,1.1978355528552985e-11,1.0132682730799686e-11,5.559312473522204e-13
52274.91894675926,-56.31729329004884,-21.619320571888238,-21.619320571888238,1.878216033412455e-12,7.210175091418887e-13,7.210175091418887e-13,1.2107272498495347e-11,1.0191380509861183e-11,7.210175091418887e-13
52274.91929398148,-71.607007432729,-27.173508000870545,-27.173508000870545,2.3871919775289577e-12,9.058943059719054e-13,9.058943059719054e-13,1.2224002585218873e-11,1.023676912618854e-11,9.058943059719054e-13
52274.919641203705,-88.93062127754092,-33.349219328537586,-33.349219328537586,2.963585784297381e-12,1.1113525453850551e-12,1.1113525453850551e-12,1.232790624875604e-11,1.0269690168713788e-11,1.1113525453850551e-12
52274.91998842593,-107.92150983586907,-40.128518465567716,-40.128518465567716,3.5951339816341134e-12,1.3367807825113046e-12,1.3367807825113046e-12,1.241840721922902e-11,1.0291175455558898e-11,1.3367807825113046e-12
52274.920335648145,-127.71067071706057,-47.427031153192125,-47.427031153192125,4.2528679049780014e-12,1.579358228152018e-12,1.579358228152018e-12,1.2494998117215953e-11,1.030240832055152e-11,1.579358228152018e-12
52274.92068287037,-147.73777709156275,-55.14324237922063,-55.14324237922063,4.918139123170262e-12,1.8356993252688765e-12,1.8356993252688765e-12,1.2557248637123515e-11,1.0304674235671338e-11,1.8356993252688765e-12
52274.92103009259,-167.78540486469865,-63.18911112818335,-63.18911112818335,5.5837384417712005e-12,2.1028734244930977e-12,2.1028734244930977e-12,1.2604809127279577e-11,1.0299298624689876e-11,2.1028734244930977e-12
