MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
52274.9165162037,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0987947305194365e-11,0.0
52274.916863425926,-7.869611389935017,-3.9348056949675083,-3.9348056949675083,1.80916999496265e-13,9.04584997481325e-14,9.04584997481325e-14,1.1176791796222874e-11,9.04584997481325e-14
52274.91721064815,-16.761944953352213,-8.210518781095743,-8.210518781095743,3.8516451977937506e-13,1.8866548794075563e-13,1.8866548794075563e-13,1.1355387088673131e-11,1.8866548794075563e-13
52274.91755787037,-27.138986315578222,-12.942635664716363,-12.942635664716363,6.233269439003656e-13,2.972658389334407e-13,2.972658389334407e-13,1.1525664872680786e-11,2.972658389334407e-13
52274.917905092596,-38.96522909775376,-18.14715435132384,-18.14715435132384,8.945505495654598e-13,4.1661623128918767e-13,4.1661623128918767e-13,1.1686789160422185e-11,4.1661623128918767e-13
52274.91825231481,-52.18417204916477,-23.81999063429733,-23.81999063429733,1.1975043440827116e-12,5.466129123157584e-13,5.466129123157584e-13,1.1837946671898237e-11,5.466129123157584e-13
52274.918599537035,-66.9393680728972,-29.979901696954453,-29.979901696954453,1.5354514365558936e-12,6.876772884719115e-13,6.876772884719115e-13,1.1978355528552985e-11,6.876772884719115e-13
52274.91894675926,-82.87967972457409,-36.59237395040691,-36.59237395040691,1.9003103623869374e-12,8.390098469658804e-13,8.390098469658804e-13,1.2107272498495347e-11,8.390098469658804e-13
52274.91929398148,-99.95990378037095,-43.63321059818069,-43.63321059818069,2.2910277728716567e-12,1.0000499552263466e-12,1.0000499552263466e-12,1.2224002585218873e-11,1.0000499552263466e-12
52274.919641203705,-118.54038743302226,-51.123928281664845,-51.123928281664845,2.7158465091691808e-12,1.1712863874114225e-12,1.1712863874114225e-12,1.232790624875604e-11,1.1712863874114225e-12
52274.91998842593,-138.23060616105795,-59.042717179791495,-59.042717179791495,3.1658037013081403e-12,1.3522161102678554e-12,1.3522161102678554e-12,1.241840721922902e-11,1.3522161102678554e-12
52274.920335648145,-158.1558250784874,-67.30214283801615,-67.30214283801615,3.620867247983105e-12,1.540835594264816e-12,1.540835594264816e-12,1.2494998117215953e-11,1.540835594264816e-12
52274.92068287037,-177.7550895512104,-75.7985233544157,-75.7985233544157,4.0682159347727725e-12,1.734773172015655e-12,1.734773172015655e-12,1.2557248637123515e-11,1.734773172015655e-12
52274.92103009259,-196.81373600289226,-84.44246711502117,-84.44246711502117,4.502969384172473e-12,1.931988345251184e-12,1.931988345251184e-12,1.2604809127279577e-11,1.931988345251184e-12
52274.921377314815,-215.08175141364336,-93.15175273492932,-93.15175273492932,4.919444084279095e-12,2.1306077150672134e-12,2.1306077150672134e-12,1.2637416448740996e-11,2.1306077150672134e-12
52274.92172453704,-231.57259549573064,-101.8030554074794,-101.8030554074794,5.295120768376606e-12,2.3278206638327237e-12,2.3278206638327237e-12,1.265489602145706e-11,2.3278206638327237e-12
52274.92207175926,-245.19196370989084,-110.23769707232714,-110.23769707232714,5.60503898261498e-12,2.5200115864122417e-12,2.5200115864122417e-12,1.2657164722054767e-11,2.5200115864122417e-12
52274.922418981485,-255.5617745630443,-118.31125693292253,-118.31125693292253,5.840627629300782e-12,2.7038941848060534e-12,2.7038941848060534e-12,1.2644232745659934e-11,2.7038941848060534e-12
52274.9227662037,-262.5379486195743,-125.90213544274631,-125.90213544274631,5.998663613782721e-12,2.8767062542730507e-12,2.8767062542730507e-12,1.2616204744781908e-11,2.8767062542730507e-12
52274.923113425924,-265.84522783756256,-132.89929006248713,-132.89929006248713,6.072921838621398e-12,3.0359281132212244e-12,3.0359281132212244e-12,1.2573277849633887e-11,3.0359281132212244e-12
52274.92346064815,-265.587099339813,-139.2177571709312,-139.2177571709312,6.0658250054464715e-12,3.179636943017053e-12,3.179636943017053e-12,1.2515740238315199e-11,3.179636943017053e-12
52274.92380787037,-261.92854676768184,-144.79552033441988,-144.79552033441988,5.981188770562644e-12,3.306433571061469e-12,3.306433571061469e-12,1.2443966687537863e-11,3.306433571061469e-12
52274.924155092594,-254.8172315210104,-149.57907299470642,-149.57907299470642,5.817855684239283e-12,3.4151122939020808e-12,3.4151122939020808e-12,1.2358414041335317e-11,3.4151122939020808e-12
52274.92450231482,-244.5081824362278,-153.5344525547698,-153.5344525547698,5.581677122381473e-12,3.5049123214755332e-12,3.5049123214755332e-12,1.225961584887107e-11,3.5049123214755332e-12
52274.924849537034,-231.7402615211904,-156.66268491342663,-156.66268491342663,5.28953669638085e-12,3.575869878473174e-12,3.575869878473174e-12,1.2148176850514105e-11,3.575869878473174e-12
52274.92519675926,-216.93365801870823,-158.98079926362976,-158.98079926362976,4.951029342981613e-12,3.628383946104942e-12,3.628383946104942e-12,1.2024764992724666e-11,3.628383946104942e-12
52274.92554398148,-199.75654500350356,-160.49101206881028,-160.49101206881028,4.5585797369638565e-12,3.662513664164888e-12,3.662513664164888e-12,1.1890104173868685e-11,3.662513664164888e-12
52274.925891203704,-179.7542478442192,-161.1789847750749,-161.1789847750749,4.101806388549252e-12,3.677938059206461e-12,3.677938059206461e-12,1.1744965632978972e-11,3.677938059206461e-12
52274.92623842593,-156.44055412337184,-161.01559061467134,-161.01559061467134,3.569605194404826e-12,3.67399675780376e-12,3.67399675780376e-12,1.1590159517554783e-11,3.67399675780376e-12
52274.92658564815,-129.11732452362776,-159.95231507830323,-159.95231507830323,2.946032049326897e-12,3.649584967186055e-12,3.649584967186055e-12,1.1426526003597177e-11,3.649584967186055e-12
52274.926932870374,-98.15783316642046,-157.95894469404894,-157.95894469404894,2.239582980328693e-12,3.6040135842005774e-12,3.6040135842005774e-12,1.1254928535752218e-11,3.6040135842005774e-12
52274.92728009259,-66.15221863240004,-155.0899845046224,-155.0899845046224,1.5093254478136094e-12,3.5385247109338313e-12,3.5385247109338313e-12,1.1076244751509008e-11,3.5385247109338313e-12
52274.92762731481,-36.39328119903803,-151.4931147074835,-151.4931147074835,8.303532606941217e-13,3.456484208777321e-12,3.456484208777321e-12,1.08913578308279e-11,3.456484208777321e-12
52274.92797453704,-10.330278731882572,-147.34126659055406,-147.34126659055406,2.357022691603116e-13,3.361832897031531e-12,3.361832897031531e-12,1.0701147296034545e-11,3.361832897031531e-12
52274.92832175926,12.749742314219475,-142.76723776470337,-142.76723776470337,-2.909175036372918e-13,3.2575943409756535e-12,3.2575943409756535e-12,1.0506481024339573e-11,3.2575943409756535e-12
52274.92866898148,35.11422707885504,-137.82608596349343,-137.82608596349343,-8.012623930692323e-13,3.145017522910984e-12,3.145017522910984e-12,1.0308209201608973e-11,3.145017522910984e-12
52274.92901620371,58.26034816354513,-132.52645260870858,-132.52645260870858,-1.3295179242341606e-12,3.0242918165171086e-12,3.0242918165171086e-12,1.0107159257311381e-11,3.0242918165171086e-12
52274.92936342592,80.52506192401052,-126.91983380521599,-126.91983380521599,-1.837755683555669e-12,2.8965844962849775e-12,2.8965844962849775e-12,9.904131120961937e-12,2.8965844962849775e-12
52274.929710648146,99.67620346322656,-121.10967900346105,-121.10967900346105,-2.2750435617690413e-12,2.7642484957444256e-12,2.7642484957444256e-12,9.699890753897138e-12,2.7642484957444256e-12
52274.93005787037,115.44902053102851,-115.19571151509881,-115.19571151509881,-2.635334780439834e-12,2.6295525394402306e-12,2.6295525394402306e-12,9.495164413244557e-12,2.6295525394402306e-12
52274.93040509259,128.344177108258,-109.2557142316023,-109.2557142316023,-2.9300470860027485e-12,2.4942649859637277e-12,2.4942649859637277e-12,9.290635632141138e-12,2.4942649859637277e-12
52274.930752314816,138.83079871162772,-103.34889249485873,-103.34889249485873,-3.1698776454260637e-12,2.359731032589355e-12,2.359731032589355e-12,9.086942278959682e-12,2.359731032589355e-12
52274.93109953704,147.44383130967617,-97.51650356917187,-97.51650356917187,-3.3670275304516637e-12,2.226887006898076e-12,2.226887006898076e-12,8.884673350263267e-12,2.226887006898076e-12
52274.931446759256,154.663150947541,-91.78514778470112,-91.78514778470112,-3.53244350618587e-12,2.0963354701492507e-12,2.0963354701492507e-12,8.68436743118942e-12,2.0963354701492507e-12
52274.93179398148,161.62411645054817,-86.15383080169559,-86.15383080169559,-3.69204964557908e-12,1.9680492457572314e-12,1.9680492457572314e-12,8.486508430026726e-12,1.9680492457572314e-12
52274.9321412037,169.8684866093099,-80.58812824928242,-80.58812824928242,-3.8810717514431025e-12,1.841237973523113e-12,1.841237973523113e-12,8.291522702489855e-12,1.841237973523113e-12
52274.932488425926,180.21620067209005,-75.0390999743596,-75.0390999743596,-4.1182662759572994e-12,1.7147792132455757e-12,1.7147792132455757e-12,8.099773973191165e-12,1.7147792132455757e-12
52274.93283564815,193.5863228701055,-69.44273699843325,-69.44273699843325,-4.424671486535999e-12,1.5872056134366237e-12,1.5872056134366237e-12,7.91155450155126e-12,1.5872056134366237e-12
52274.93318287037,211.46332205832005,-63.7099602829893,-63.7099602829893,-4.834270776716109e-12,1.456475743329415e-12,1.456475743329415e-12,7.727069662554043e-12,1.456475743329415e-12
52274.933530092596,234.48675813153386,-57.74602591469884,-57.74602591469884,-5.36176004438826e-12,1.3204171397088516e-12,1.3204171397088516e-12,7.546410772514861e-12,1.3204171397088516e-12
52274.93387731481,262.02351367101073,-51.476034942430026,-51.476034942430026,-5.992745474998776e-12,1.177309513753978e-12,1.177309513753978e-12,7.36949720474519e-12,1.177309513753978e-12
52274.934224537035,291.7108714915812,-44.876286741775964,-44.876286741775964,-6.673257711391927e-12,1.0266022141270608e-12,1.0266022141270608e-12,7.19595404989385e-12,1.0266022141270608e-12
52274.93457175926,320.77111089229584,-37.97727923924631,-37.97727923924631,-7.339784980198297e-12,8.689843139976838e-13,8.689843139976838e-13,7.024822550436016e-12,8.689843139976838e-13
52274.93491898148,347.12228233367205,-30.845805876784855,-30.845805876784855,-7.944678532133884e-12,7.059760327344743e-13,7.059760327344743e-13,6.853802946430906e-12,7.059760327344743e-13
52274.935266203705,365.3688113465905,-23.641903745450758,-23.641903745450758,-8.364382087461855e-12,5.412337070400878e-13,5.412337070400878e-13,6.676984306955338e-12,5.412337070400878e-13
52274.93561342593,359.4027584902942,-16.801820491241024,-16.801820491241024,-8.229909404142342e-12,3.8474234601989076e-13,3.8474234601989076e-13,6.477144153832912e-12,3.8474234601989076e-13
52274.935960648145,282.47047870606184,-11.551429277253256,-11.551429277253256,-6.469944631367102e-12,2.645837829826909e-13,2.645837829826909e-13,6.204449251716016e-12,2.645837829826909e-13
52274.93630787037,124.72265445441008,-9.201876109465957,-9.201876109465957,-2.85751879119562e-12,2.1082404004369924e-13,2.1082404004369924e-13,5.848105120648556e-12,2.1082404004369924e-13
52274.93665509259,118.79343988373876,-7.032463973987911,-7.032463973987911,-2.7224175005808724e-12,1.6116464860118876e-13,1.6116464860118876e-13,5.681208131882988e-12,1.6116464860118876e-13
52274.937002314815,185.3082197010517,-3.8267859127372503,-3.8267859127372503,-4.24793254015192e-12,8.77237309231959e-14,8.77237309231959e-14,5.666533149381515e-12,8.77237309231959e-14
52274.93734953704,234.2279385253787,0.07701306268572808,0.07575055346137187,-5.37086601672603e-12,-1.7659159015223614e-15,-1.7369664605137977e-15,5.5727306922865176e-12,-1.7369664605137977e-15
52274.93769675926,262.4778351224959,4.58280383789291,4.308042240058703,-6.02036591169644e-12,-1.0511423180843453e-13,-9.881211735876179e-14,5.4524447969427765e-12,-9.881211735876179e-14
52274.938043981485,275.3425700478256,9.451212421245874,8.610177602086749,-6.317279194294044e-12,-2.1684241408518624e-13,-1.9754626324360754e-13,5.343789917455454e-12,-1.9754626324360754e-13
