MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360,dtm2000_rho,nrlmsise00_rho
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.787469310310777e-13,0.0,"(6.006499541854918e-13, Timestamp('2023-05-04 21:59:42'))","(5.317836528312377e-13, Timestamp('2023-05-04 21:59:42'))"
60068.91680555556,3.7459538727998734,1.8729769363999367,1.8729769363999367,-8.819673922127464e-14,-4.409836961063732e-14,-4.409836961063732e-14,3.763476217048279e-13,-4.409836961063732e-14,"(5.953891938352056e-13, Timestamp('2023-05-04 22:00:12'))","(5.289916577348472e-13, Timestamp('2023-05-04 22:00:12'))"
60068.91715277778,2.600385669618845,2.1154465141395726,2.1154465141395726,-6.12369797979994e-14,-4.981705481752685e-14,-4.981705481752685e-14,3.741120445653058e-13,-4.981705481752685e-14,"(5.908928585912537e-13, Timestamp('2023-05-04 22:00:42'))","(5.272976731918695e-13, Timestamp('2023-05-04 22:00:42'))"
60068.9175,-3.748593509197235,0.6494365083053708,0.6494365083053708,8.82932253133601e-14,-1.5296628939318512e-14,-1.5296628939318512e-14,3.7231520483764437e-13,-1.5296628939318512e-14,"(5.871847060307818e-13, Timestamp('2023-05-04 22:01:12'))","(5.266193995158697e-13, Timestamp('2023-05-04 22:01:12'))"
60068.91784722222,-13.413519360125065,-2.1631546653807163,-2.1631546653807163,3.159961409362908e-13,5.0959670475494545e-14,5.0959670475494545e-14,3.7094891212837975e-13,5.0959670475494545e-14,"(5.842940203035337e-13, Timestamp('2023-05-04 22:01:42'))","(5.268772381371728e-13, Timestamp('2023-05-04 22:01:42'))"
60068.91819444444,-24.304780267179012,-5.853425599013765,-5.853425599013765,5.726740437508584e-13,1.3791957264096974e-13,1.3791957264096974e-13,3.6999957665104907e-13,1.3791957264096974e-13,"(5.822537783744749e-13, Timestamp('2023-05-04 22:02:12'))","(5.279957502045752e-13, Timestamp('2023-05-04 22:02:12'))"
60068.918541666666,-35.744820687919855,-10.123624897428922,-10.123624897428922,8.423688722774326e-13,2.385751648514763e-13,2.385751648514763e-13,3.694460841033278e-13,2.385751648514763e-13,"(5.810977929708578e-13, Timestamp('2023-05-04 22:02:42'))","(5.299055755366782e-13, Timestamp('2023-05-04 22:02:42'))"
60068.91888888889,-47.4953706599772,-14.795093117747456,-14.795093117747456,1.1194645880721414e-12,3.4871994033104535e-13,3.4871994033104535e-13,3.692687548623158e-13,3.4871994033104535e-13,"(5.808570743634745e-13, Timestamp('2023-05-04 22:03:12'))","(5.325470915937291e-13, Timestamp('2023-05-04 22:03:12'))"
60068.91923611111,-55.877799805253744,-19.359838305248154,-19.359838305248154,1.3172393228110078e-12,4.563805373120289e-13,4.563805373120289e-13,3.6962568429036534e-13,4.563805373120289e-13,"(5.815558351569115e-13, Timestamp('2023-05-04 22:03:42'))","(5.358813258664741e-13, Timestamp('2023-05-04 22:03:42'))"
60068.919583333336,-35.330459360033274,-20.956900410726668,-20.956900410726668,8.329852692283129e-13,4.941002649562962e-13,4.941002649562962e-13,3.755253578223905e-13,4.941002649562962e-13,"(5.832075983603292e-13, Timestamp('2023-05-04 22:04:12'))","(5.399093178059393e-13, Timestamp('2023-05-04 22:04:12'))"
60068.91993055555,-139.707856785506,-31.75244189934297,-31.75244189934297,3.294335158850808e-12,7.487280109734325e-13,7.487280109734325e-13,3.7568823138456177e-13,7.487280109734325e-13,"(5.858116978263147e-13, Timestamp('2023-05-04 22:04:42'))","(5.435846743774838e-13, Timestamp('2023-05-04 22:04:42'))"
