MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.787469310310777e-13,5.317836528312377e-13,0.0
60068.91680555556,3.5850255005061626,1.7925127502530813,1.7925127502530813,-1.2277491730843033e-13,-6.138745865421517e-14,-6.138745865421517e-14,3.763476217048279e-13,5.289916577348472e-13,-6.138745865421517e-14
60068.91715277778,2.560940880328417,2.048655460278193,2.048655460278193,-8.772085368148351e-14,-7.017335201107396e-14,-7.017335201107396e-14,3.741120445653058e-13,5.272976731918695e-13,-7.017335201107396e-14
60068.9175,-3.4903565272688866,0.6639024633914232,0.6639024633914232,1.1957933149350674e-13,-2.2745244541353075e-14,-2.2745244541353075e-14,3.7231520483764437e-13,5.266193995158697e-13,-2.2745244541353075e-14
60068.91784722222,-13.033037897199392,-2.0754856087267397,-2.0754856087267397,4.4659308482285684e-13,7.111906892451346e-14,7.111906892451346e-14,3.7094891212837975e-13,5.268772381371728e-13,7.111906892451346e-14
60068.91819444444,-24.08169313892722,-5.743186863760154,-5.743186863760154,8.253347209821383e-13,1.9683215380265932e-13,1.9683215380265932e-13,3.6999957665104907e-13,5.279957502045752e-13,1.9683215380265932e-13
60068.918541666666,-35.798422425985336,-10.036791944078036,-10.036791944078036,1.227101178873915e-12,3.4404195470218057e-13,3.4404195470218057e-13,3.694460841033278e-13,5.299055755366782e-13,3.4404195470218057e-13
60068.91888888889,-47.67536539211869,-14.741613625083119,-14.741613625083119,1.6344829948919138e-12,5.053955347649726e-13,5.053955347649726e-13,3.692687548623158e-13,5.325470915937291e-13,5.053955347649726e-13
60068.91923611111,-55.69879413023591,-19.292411458988983,-19.292411458988983,1.9098465740912512e-12,6.615142483113009e-13,6.615142483113009e-13,3.6962568429036534e-13,5.358813258664741e-13,6.615142483113009e-13
60068.919583333336,-34.4755783341825,-20.810728146508335,-20.810728146508335,1.1822978367699427e-12,7.136784952735325e-13,7.136784952735325e-13,3.755253578223905e-13,5.399093178059393e-13,7.136784952735325e-13
60068.91993055555,-138.56432243809104,-31.515600354834035,-31.515600354834035,4.752538797595452e-12,1.080935631773333e-12,1.080935631773333e-12,3.7568823138456177e-13,5.435846743774838e-13,1.080935631773333e-12
60068.920277777775,-314.3599480576813,-55.08596266340464,-55.08596266340464,1.0783420634331504e-11,1.8896017451230067e-12,1.8896017451230067e-12,3.806801230446178e-13,5.484834376074471e-13,1.8896017451230067e-12
