MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.787469310310777e-13,0.0
60068.91680555556,7.889653831720352,3.944826915860176,3.944826915860176,-1.8575822478621998e-13,-9.287911239310999e-14,-9.287911239310999e-14,3.763476217048279e-13,-9.287911239310999e-14
60068.91715277778,10.760653633624315,6.216769155114889,6.216769155114889,-2.5340469180177705e-13,-1.463998866046656e-13,-1.463998866046656e-13,3.741120445653058e-13,-1.463998866046656e-13
60068.9175,8.173102792352438,6.705852564424276,6.705852564424276,-1.9250676409269142e-13,-1.5794760086315176e-13,-1.5794760086315176e-13,3.7231520483764437e-13,-1.5794760086315176e-13
60068.91784722222,1.632455050945282,5.6911730617284775,5.6911730617284775,-3.8457431081372476e-14,-1.3407284670218017e-13,-1.3407284670218017e-13,3.7094891212837975e-13,-1.3407284670218017e-13
60068.91819444444,-6.892021115869284,3.5939740321288505,3.5939740321288505,1.623911657975779e-13,-8.468192756690547e-14,-8.468192756690547e-14,3.6999957665104907e-13,-8.468192756690547e-14
60068.918541666666,-16.567339938133955,0.713786322091307,0.713786322091307,3.904289122658603e-13,-1.6821216825695626e-14,-1.6821216825695626e-14,3.694460841033278e-13,-1.6821216825695626e-14
60068.91888888889,-26.883733745664358,-2.735903686378151,-2.735903686378151,6.336488694632229e-13,6.448517509638572e-14,6.448517509638572e-14,3.692687548623158e-13,6.448517509638572e-14
60068.91923611111,-33.80351385846734,-6.187860372165839,-6.187860372165839,7.968695592658874e-13,1.4586997044780633e-13,1.4586997044780633e-13,3.6962568429036534e-13,1.4586997044780633e-13
60068.919583333336,-11.877546805888414,-6.756829015538097,-6.756829015538097,2.800365945727554e-13,1.5930557197919143e-13,1.5930557197919143e-13,3.755253578223905e-13,1.5930557197919143e-13
60068.91993055555,-116.30926859751344,-16.71614170480858,-16.71614170480858,2.7425924472471172e-12,3.94169480554198e-13,3.94169480554198e-13,3.7568823138456177e-13,3.94169480554198e-13
60068.920277777775,-293.02658723667264,-39.742012165797256,-39.742012165797256,6.910493574748178e-12,9.372423243542955e-13,9.372423243542955e-13,3.806801230446178e-13,9.372423243542955e-13
