MJD,UTC,EDR,rho_eff,jb08_rho
60069.75013888889,2023-05-05 18:00:12,-0.0,0.0,6.240596033306737e-13
60069.75048611111,2023-05-05 18:00:42,-10.31819861382246,2.730262619065807e-15,6.247458685320225e-13
60069.75083333333,2023-05-05 18:01:12,-19.000728715211153,5.02771668657898e-15,6.252057556165574e-13
60069.751180555555,2023-05-05 18:01:42,-27.95276788622141,7.396484610883127e-15,6.254138452535485e-13
60069.75152777778,2023-05-05 18:02:12,-39.189179331064224,1.0369712331000884e-14,6.253456265367615e-13
60069.751875,2023-05-05 18:02:42,-53.270435228943825,1.4095704439349934e-14,6.249776524721252e-13
60069.752222222225,2023-05-05 18:03:12,-69.98358272761106,1.8518112222954314e-14,6.242877378596738e-13
60069.75256944444,2023-05-05 18:03:42,-89.02475384250283,2.3556530232138713e-14,6.232552326406042e-13
60069.752916666665,2023-05-05 18:04:12,-109.98043859004974,2.910154102951851e-14,6.218611885461342e-13
60069.75326388889,2023-05-05 18:04:42,-132.7595376931131,3.512903915247327e-14,6.200886139448388e-13
60069.75361111111,2023-05-05 18:05:12,-157.74075651168823,4.1739232508093495e-14,6.179225955739019e-13
60069.753958333335,2023-05-05 18:05:42,-185.276183411479,4.902528597326004e-14,6.153504939358551e-13
60069.75430555556,2023-05-05 18:06:12,-215.1526271291077,5.69307877498581e-14,6.123619769237384e-13
60069.75465277778,2023-05-05 18:06:42,-246.387990642339,6.519586856336984e-14,6.089490838496768e-13
60069.755,2023-05-05 18:07:12,-276.96656116843224,7.328715767075515e-14,6.051063247689894e-13
60069.75534722222,2023-05-05 18:07:42,-304.53508603200316,8.05819690729084e-14,6.008307123690577e-13
60069.75569444445,2023-05-05 18:08:12,-327.66719684004784,8.670287639433624e-14,5.961217579663321e-13
60069.75604166667,2023-05-05 18:08:42,-346.26215475425124,9.162322348168927e-14,5.909814757575936e-13
60069.75638888889,2023-05-05 18:09:12,-360.8050934560597,9.547137986973574e-14,5.854142388742096e-13
60069.756736111114,2023-05-05 18:09:42,-371.43389147147536,9.82838291153061e-14,5.794265612970154e-13
60069.75708333333,2023-05-05 18:10:12,-377.6713942140341,9.993431300418131e-14,5.730268240119066e-13
60069.75743055555,2023-05-05 18:10:42,-378.97056831792,1.0027808294157585e-13,5.662250022586307e-13
60069.75777777778,2023-05-05 18:11:12,-375.37113719433546,9.932565000105656e-14,5.59032176324408e-13
60069.758125,2023-05-05 18:11:42,-367.3834056183696,9.721204415286364e-14,5.514598449230917e-13
60069.758472222224,2023-05-05 18:12:12,-355.23720210418105,9.399807952012922e-14,5.43518654603947e-13
60069.75881944445,2023-05-05 18:12:42,-338.8549559265375,8.96632303832619e-14,5.352154943720143e-13
60069.75916666666,2023-05-05 18:13:12,-318.2925058864057,8.422227205301881e-14,5.265490112357462e-13
60069.75951388889,2023-05-05 18:13:42,-293.915805593133,7.777203824013844e-14,5.175750897908149e-13
60069.75986111111,2023-05-05 18:14:12,-266.3301623687148,7.04726972081079e-14,5.083716376971758e-13
60069.76020833333,2023-05-05 18:14:42,-236.95745242014527,6.270048667071713e-14,4.990036460140424e-13
60069.76055555556,2023-05-05 18:15:12,-207.3409158065915,5.4863758008229786e-14,4.8952981241438e-13
60069.76090277778,2023-05-05 18:15:42,-177.71496104449034,4.702453724223851e-14,4.800041506861885e-13
60069.76125,2023-05-05 18:16:12,-147.71594101563096,3.9086600974595883e-14,4.704767214578679e-13
60069.76159722222,2023-05-05 18:16:42,-117.45787260681392,3.108011881684212e-14,4.60993954325985e-13
60069.76194444444,2023-05-05 18:17:12,-87.58760119602084,2.3176250272870933e-14,4.5159881762411327e-13
60069.762291666666,2023-05-05 18:17:42,-58.627582751214504,1.5513240597772278e-14,4.4233090465379695e-13
60069.76263888889,2023-05-05 18:18:12,-30.532159216701984,8.079008372358253e-15,4.332265014750197e-13
60069.76298611111,2023-05-05 18:18:42,-3.2406548261642456,8.574983933066284e-16,4.24318679371739e-13
60069.763333333336,2023-05-05 18:19:12,22.70243740454316,-6.007212937757477e-15,4.156373930033123e-13
60069.76368055555,2023-05-05 18:19:42,46.172497395426035,-1.221754381610454e-14,4.0720963046467443e-13
60069.764027777775,2023-05-05 18:20:12,65.88191882893443,-1.7432785216016626e-14,3.9905944360043546e-13
60069.764375,2023-05-05 18:20:42,81.29649883508682,-2.151158357554985e-14,3.9120809726930865e-13
60069.76472222222,2023-05-05 18:21:12,93.5287551805377,-2.47483183484273e-14,3.8367422062488405e-13
60069.765069444446,2023-05-05 18:21:42,104.32987909764051,-2.760636615100189e-14,3.7647396507624223e-13
60069.76541666667,2023-05-05 18:22:12,114.0963546000421,-3.019063923802194e-14,3.6962121602050895e-13
60069.76576388889,2023-05-05 18:22:42,121.98960991948844,-3.227924605283524e-14,3.631278146386647e-13
60069.76611111111,2023-05-05 18:23:12,127.9337351322174,-3.3852100334746394e-14,3.5700363111508506e-13
60069.76645833333,2023-05-05 18:23:42,133.032595038414,-3.520129190614073e-14,3.5125680688392987e-13
60069.766805555555,2023-05-05 18:24:12,138.43374424427748,-3.663047119689515e-14,3.458938718576373e-13
60069.76715277778,2023-05-05 18:24:42,144.47791285067797,-3.822979761296934e-14,3.4091998970423657e-13
60069.7675,2023-05-05 18:25:12,151.16866214200854,-4.0000213493430236e-14,3.3633907136250863e-13
60069.767847222225,2023-05-05 18:25:42,158.72947315126655,-4.200085337651454e-14,3.321538934223018e-13
60069.76819444444,2023-05-05 18:26:12,167.1432267650962,-4.4227187433226285e-14,3.2836620721712557e-13
60069.768541666665,2023-05-05 18:26:42,175.33829251676798,-4.639565525595286e-14,3.2497680953354864e-13
60069.76888888889,2023-05-05 18:27:12,181.48611905053255,-4.8022410235368795e-14,3.2198550645988507e-13
60069.76923611111,2023-05-05 18:27:42,183.30136678740385,-4.8502736620410875e-14,3.1939097513852925e-13
60069.769583333335,2023-05-05 18:28:12,178.93077376112342,-4.734624921312084e-14,3.1719049795799997e-13
60069.76993055556,2023-05-05 18:28:42,168.3977447785437,-4.455914107797122e-14,3.153793428273213e-13
60069.77027777778,2023-05-05 18:29:12,152.8717623874545,-4.045086492113524e-14,3.139497598812734e-13
60069.770625,2023-05-05 18:29:42,132.9136897996068,-3.5169828804791676e-14,3.1288912683400835e-13
60069.77097222222,2023-05-05 18:30:12,108.0861351005733,-2.860029597696108e-14,3.121769259156796e-13
60069.77131944445,2023-05-05 18:30:42,78.50848645716906,-2.0773857324891672e-14,3.117837834434994e-13
60069.77166666667,2023-05-05 18:31:12,45.122644528746605,-1.1939745903436522e-14,3.1172476076805034e-13
60069.77201388889,2023-05-05 18:31:42,3.083252277225256,-8.158486527270957e-16,3.1326304980118263e-13
60069.772361111114,2023-05-05 18:32:12,-224.06562911346555,5.928922618008488e-14,3.159543319930731e-13
60069.77270833333,2023-05-05 18:32:42,-408.4732277058065,1.0808467894776931e-13,3.212495970210321e-13
60069.77305555555,2023-05-05 18:33:12,-423.2789658047259,1.120023737695191e-13,3.2211338669521906e-13
60069.77340277778,2023-05-05 18:33:42,-443.877994261682,1.1745301098731394e-13,3.2139274293023516e-13
60069.77375,2023-05-05 18:34:12,-466.26985082402825,1.2337804220950413e-13,3.204940061167166e-13
60069.774097222224,2023-05-05 18:34:42,-486.70473934337497,1.2878524692975523e-13,3.1976612222002064e-13
60069.77444444445,2023-05-05 18:35:12,-504.3964635320008,1.3346659248500746e-13,3.193288483260827e-13
60069.77479166666,2023-05-05 18:35:42,-519.2891692966223,1.3740729951805698e-13,3.192314857436541e-13
60069.77513888889,2023-05-05 18:36:12,-530.2703309096396,1.4031298646866266e-13,3.194961608959776e-13
60069.77548611111,2023-05-05 18:36:42,-535.0941711328924,1.4158940603905646e-13,3.2013273530374266e-13
60069.77583333333,2023-05-05 18:37:12,-532.4184401705861,1.408813901829481e-13,3.2114495499329946e-13
60069.77618055556,2023-05-05 18:37:42,-522.770296305418,1.383284284185613e-13,3.225332068729293e-13
60069.77652777778,2023-05-05 18:38:12,-507.71685909852386,1.343451907980546e-13,3.2429585096346136e-13
60069.776875,2023-05-05 18:38:42,-489.0169241242111,1.293970660962358e-13,3.2642991019088625e-13
60069.77722222222,2023-05-05 18:39:12,-468.2838526517153,1.239109602226831e-13,3.2893140370953643e-13
60069.77756944444,2023-05-05 18:39:42,-446.823264837265,1.182323487822636e-13,3.3179549353303077e-13
60069.777916666666,2023-05-05 18:40:12,-425.5224925503135,1.1259602557228111e-13,3.3501656031311415e-13
60069.77826388889,2023-05-05 18:40:42,-404.7945057041943,1.0711126512401506e-13,3.385881610456433e-13
60069.77861111111,2023-05-05 18:41:12,-384.7223812416196,1.0180005013809785e-13,3.425030194241412e-13
60069.778958333336,2023-05-05 18:41:42,-364.947498485446,9.65674872454566e-14,3.4675291682035765e-13
60069.77930555555,2023-05-05 18:42:12,-344.8598551005125,9.125216585151312e-14,3.51328633841968e-13
60069.779652777775,2023-05-05 18:42:42,-324.17049576342106,8.57776264939542e-14,3.5621986293511507e-13
60069.78,2023-05-05 18:43:12,-303.19557970389724,8.022752696605357e-14,3.6141509102454215e-13
60069.78034722222,2023-05-05 18:43:42,-282.5947197191417,7.4776405114063e-14,3.669015192875496e-13
60069.780694444446,2023-05-05 18:44:12,-262.97525998204947,6.95849681654961e-14,3.726649245522886e-13
60069.78104166667,2023-05-05 18:44:42,-244.89039612188935,6.479959529022079e-14,3.7868957203382906e-13
60069.78138888889,2023-05-05 18:45:12,-228.91391199082136,6.057211343609958e-14,3.8495810426060147e-13
60069.78173611111,2023-05-05 18:45:42,-215.38762283697724,5.699296914613183e-14,3.914514599225314e-13
60069.78208333333,2023-05-05 18:46:12,-204.10623075067997,5.400783925504983e-14,3.9814875852267077e-13
60069.782430555555,2023-05-05 18:46:42,-194.7276647388935,5.152620954808534e-14,4.0502724716639524e-13
60069.78277777778,2023-05-05 18:47:12,-187.16231448203325,4.9524368550493465e-14,4.120622280420454e-13
60069.783125,2023-05-05 18:47:42,-181.36874936893585,4.799135345246816e-14,4.1922699588988565e-13
60069.783472222225,2023-05-05 18:48:12,-177.09120439738035,4.6859487167052246e-14,4.2649277365201e-13
60069.78381944444,2023-05-05 18:48:42,-173.8731440976262,4.600796743273076e-14,4.3382864961041914e-13
60069.784166666665,2023-05-05 18:49:12,-171.1010515205562,4.5274453665160414e-14,4.412014632329748e-13
60069.78451388889,2023-05-05 18:49:42,-168.0758889876306,4.447397593747056e-14,4.4857575185665067e-13
60069.78486111111,2023-05-05 18:50:12,-164.11433277651668,4.3425722338044503e-14,4.559134706319176e-13
60069.785208333335,2023-05-05 18:50:42,-159.02168187499046,4.2078173709763365e-14,4.631735372460167e-13
60069.78555555556,2023-05-05 18:51:12,-153.44780834764242,4.060329043752897e-14,4.703106936788779e-13
60069.78590277778,2023-05-05 18:51:42,-148.37158250063658,3.926008798575126e-14,4.77271109225947e-13
60069.78625,2023-05-05 18:52:12,-143.72901221737266,3.803163362320381e-14,4.840099400803844e-13
60069.78659722222,2023-05-05 18:52:42,-138.39568914100528,3.6620401568482536e-14,4.905292695681992e-13
60069.78694444445,2023-05-05 18:53:12,-131.91027889028192,3.4904319736801595e-14,4.96826606105646e-13
60069.78729166667,2023-05-05 18:53:42,-124.90696263313292,3.3051196599515293e-14,5.028958843480676e-13
60069.78763888889,2023-05-05 18:54:12,-118.3721471875906,3.1322041831205555e-14,5.08730035649777e-13
60069.787986111114,2023-05-05 18:54:42,-113.2403610907495,2.996413777511603e-14,5.143218823682928e-13
60069.78833333333,2023-05-05 18:55:12,-110.54001184925436,2.92496077618441e-14,5.196647481795516e-13
60069.78868055555,2023-05-05 18:55:42,-110.9387814104557,2.935512478737517e-14,5.247527438355877e-13
60069.78902777778,2023-05-05 18:56:12,-114.601308722049,3.032425339057486e-14,5.295810611519827e-13
60069.789375,2023-05-05 18:56:42,-121.2836865670979,3.2092454131774947e-14,5.341461239985093e-13
60069.789722222224,2023-05-05 18:57:12,-130.47010984271765,3.452324161814308e-14,5.384457269037937e-13
60069.79006944445,2023-05-05 18:57:42,-141.557731192559,3.7457098509139024e-14,5.424792068694857e-13
60069.79041666666,2023-05-05 18:58:12,-153.69153602793813,4.066778237063167e-14,5.462474395517795e-13
60069.79076388889,2023-05-05 18:58:42,-165.859996099025,4.388763623341515e-14,5.497529578935016e-13
60069.79111111111,2023-05-05 18:59:12,-177.0219854861498,4.684117139189241e-14,5.529999591876218e-13
60069.79145833333,2023-05-05 18:59:42,-186.25102438032627,4.928323524874812e-14,5.559943127077795e-13
60069.79180555556,2023-05-05 19:00:12,-193.5186948850751,5.12063082433134e-14,5.587436091375893e-13
60069.79215277778,2023-05-05 19:00:42,-200.1662080734968,5.2965283569082115e-14,5.612570791426557e-13
60069.7925,2023-05-05 19:01:12,-208.25888147577643,5.5106657708648797e-14,5.635454913546194e-13
60069.79284722222,2023-05-05 19:01:42,-219.0868971273303,5.79718212394703e-14,5.656210791256885e-13
60069.79319444444,2023-05-05 19:02:12,-232.71722535043955,6.157849494541153e-14,5.674973639360158e-13
60069.793541666666,2023-05-05 19:02:42,-248.51698440685868,6.5759214192684e-14,5.691890584824929e-13
60069.79388888889,2023-05-05 19:03:12,-265.1116559021175,7.015027245342408e-14,5.707119684589514e-13
60069.79423611111,2023-05-05 19:03:42,-280.88798210024834,7.432479121363123e-14,5.720829012455746e-13
60069.794583333336,2023-05-05 19:04:12,-294.64774027094245,7.796571292747622e-14,5.733195648734554e-13
60069.79493055555,2023-05-05 19:04:42,-305.39244743064046,8.080883248825239e-14,5.744404293338755e-13
60069.795277777775,2023-05-05 19:05:12,-311.9881019964814,8.255408568441229e-14,5.75464608637014e-13
60069.795625,2023-05-05 19:05:42,-313.53840010240674,8.29643046698606e-14,5.764117588682609e-13
60069.79597222222,2023-05-05 19:06:12,-309.8545116558671,8.198952377109773e-14,5.773019533685802e-13
60069.796319444446,2023-05-05 19:06:42,-301.39881570264697,7.975209149795501e-14,5.781555901387403e-13
60069.79666666667,2023-05-05 19:07:12,-288.8207574225962,7.642385527884896e-14,5.78993251427774e-13
60069.79701388889,2023-05-05 19:07:42,-272.74927014485,7.217123497277728e-14,5.798355791556249e-13
60069.79736111111,2023-05-05 19:08:12,-254.18507317826152,6.725902743269827e-14,5.807032131920597e-13
60069.79770833333,2023-05-05 19:08:42,-234.69781716540456,6.210257245141948e-14,5.816166785901202e-13
60069.798055555555,2023-05-05 19:09:12,-216.152691911906,5.719541141095536e-14,5.825962740877997e-13
60069.79840277778,2023-05-05 19:09:42,-200.26492722705007,5.2991405300676937e-14,5.836620225421595e-13
60069.79875,2023-05-05 19:10:12,-187.81114595755935,4.9696053588745116e-14,5.848334939918397e-13
60069.799097222225,2023-05-05 19:10:42,-178.88389634341002,4.733384514279312e-14,5.861298556703524e-13
60069.79944444444,2023-05-05 19:11:12,-173.6986166201532,4.59617863244212e-14,5.875698029109939e-13
60069.799791666665,2023-05-05 19:11:42,-172.54760579019785,4.565722135520679e-14,5.891715886716266e-13
60069.80013888889,2023-05-05 19:12:12,-175.56334596127272,4.6455205864525184e-14,5.90953032259654e-13
60069.80048611111,2023-05-05 19:12:42,-182.72986190766096,4.835151270350687e-14,5.929315758860846e-13
60069.800833333335,2023-05-05 19:13:12,-193.4201165139675,5.1180223763671485e-14,5.951243848916618e-13
60069.80118055556,2023-05-05 19:13:42,-206.51416047289968,5.464499315719579e-14,5.975485073588474e-13
60069.80152777778,2023-05-05 19:14:12,-220.17900788411495,5.826080086534553e-14,6.002211827003499e-13
60069.801875,2023-05-05 19:14:42,-231.46655125543475,6.124755842654561e-14,6.031603658719311e-13
60069.80222222222,2023-05-05 19:15:12,-237.8798782080412,6.294456654762325e-14,6.063856861233292e-13
60069.80256944445,2023-05-05 19:15:42,-238.8755585923791,6.320803006830534e-14,6.099200952245373e-13
60069.80291666667,2023-05-05 19:16:12,-235.30477398261428,6.226317718209358e-14,6.137928791441067e-13
60069.80326388889,2023-05-05 19:16:42,-227.72044060751796,6.025631312766271e-14,6.180458412401206e-13
60069.803611111114,2023-05-05 19:17:12,-215.71237801387903,5.707890148306662e-14,6.227472014865389e-13
60069.80395833333,2023-05-05 19:17:42,-198.7173837982118,5.2581915220744004e-14,6.280272788900231e-13
60069.80430555555,2023-05-05 19:18:12,-175.9414220750332,4.655524726895978e-14,6.341873361156264e-13
60069.80465277778,2023-05-05 19:18:42,-143.4580664224923,3.795993959954314e-14,6.42124635948732e-13
60069.805,2023-05-05 19:19:12,-97.52939446642996,2.580691358422799e-14,6.55108140087252e-13
60069.805347222224,2023-05-05 19:19:42,-369.7818000838161,9.784667496390568e-14,6.421111779262768e-13
60069.80569444445,2023-05-05 19:20:12,-377.1510810293257,9.979663474350961e-14,6.209398086659246e-13
60069.80604166666,2023-05-05 19:20:42,-333.2020366601646,8.816743109317078e-14,6.14326179282766e-13
60069.80638888889,2023-05-05 19:21:12,-296.06918980926275,7.834183774195356e-14,6.107211418189569e-13
60069.80673611111,2023-05-05 19:21:42,-263.3177634961903,6.967559682816835e-14,6.082468698472877e-13
60069.80708333333,2023-05-05 19:22:12,-233.87396236136556,6.18845750994406e-14,6.064074014333266e-13
60069.80743055556,2023-05-05 19:22:42,-207.56428997963667,5.49228642706265e-14,6.050183851205989e-13
60069.80777777778,2023-05-05 19:23:12,-184.30688866227865,4.876880426364716e-14,6.039939894453763e-13
60069.808125,2023-05-05 19:23:42,-164.33288890868425,4.3483553715415486e-14,6.032865417929426e-13
60069.80847222222,2023-05-05 19:24:12,-147.72344028577209,3.9088585330364064e-14,6.028651580156924e-13
60069.80881944444,2023-05-05 19:24:42,-134.15549714118242,3.549841912289657e-14,6.02706850561405e-13
60069.809166666666,2023-05-05 19:25:12,-123.24270220473409,3.261082244060342e-14,6.027924401919622e-13
60069.80951388889,2023-05-05 19:25:42,-114.154176261276,3.020593922653231e-14,6.031044326828086e-13
60069.80986111111,2023-05-05 19:26:12,-105.58865011483432,2.793944516826404e-14,6.036258910402325e-13
60069.810208333336,2023-05-05 19:26:42,-96.28812880814075,2.5478466599051995e-14,6.043398526600111e-13
60069.81055555555,2023-05-05 19:27:12,-85.05992893874645,2.2507411715330378e-14,6.052288840879185e-13
