MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho
60070.00013888889,-0.0,-0.0,-0.0,0.0,0.0,0.0,6.190382076161615e-13
60070.00048611111,6.237345315515995,3.1186726577579975,3.1186726577579975,-9.369138901356185e-13,-4.684569450678092e-13,-4.684569450678092e-13,6.241194529771091e-13
60070.00083333333,12.71899228170514,6.318779199073712,6.318779199073712,-1.9102913793917122e-12,-9.490303292056052e-13,-9.490303292056052e-13,6.298678574404627e-13
60070.001180555555,17.988791901618242,9.236282374709845,9.236282374709845,-2.7014341834994348e-12,-1.3870419465606216e-12,-1.3870419465606216e-12,6.3672974347428e-13
60070.00152777778,20.40621694549918,11.470269288867712,11.470269288867712,-3.0640713123781107e-12,-1.7223046862207847e-12,-1.7223046862207847e-12,6.462032046554686e-13
60070.001875,108.7147156894207,27.67767702229321,27.67767702229321,-1.6321769036934007e-11,-4.155358812024065e-12,-4.155358812024065e-12,6.603350459464098e-13
60070.002222222225,146.29840853065252,44.623495809201685,44.623495809201685,-2.1961380183472944e-11,-6.698593418917206e-12,-6.698593418917206e-12,6.306498212339804e-13
60070.00256944444,89.08373130112886,50.18102524569258,50.18102524569258,-1.3370826640065561e-11,-7.531810571706557e-12,-7.531810571706557e-12,6.184247728827114e-13
60070.002916666665,78.29774124920368,53.30510480163826,53.30510480163826,-1.1750265375031186e-11,-7.999581051381465e-12,-7.999581051381465e-12,6.135842401584131e-13
60070.00326388889,81.580416880548,56.132636009529236,56.132636009529236,-1.2241138435728639e-11,-8.422699888395056e-12,-8.422699888395056e-12,6.10675372278393e-13
60070.00361111111,91.21408633887768,59.32185876674273,59.32185876674273,-1.3684665338153972e-11,-8.899938781868833e-12,-8.899938781868833e-12,6.086369890754898e-13
60070.003958333335,104.0317259542644,63.04768103236953,63.04768103236953,-1.5605348299308756e-11,-9.457509360234911e-12,-9.457509360234911e-12,6.071418783494219e-13
60070.00430555556,116.5575622394681,67.16382574060789,67.16382574060789,-1.7481659225237014e-11,-1.007343574540657e-11,-1.007343574540657e-11,6.06056021626631e-13
60070.00465277778,126.9760097526014,71.43612459860742,71.43612459860742,-1.9041348045686994e-11,-1.0712575660295376e-11,-1.0712575660295376e-11,6.053123345579862e-13
60070.005,135.19880617037416,75.6869700367252,75.6869700367252,-2.0271324794225614e-11,-1.1348289202878194e-11,-1.1348289202878194e-11,6.048711579169471e-13
60070.00534722222,140.7101306281984,79.75091757369228,79.75091757369228,-2.109441316857009e-11,-1.1955776022390447e-11,-1.1955776022390447e-11,6.047053458344744e-13
60070.00569444445,143.47369388863444,83.49931618045358,83.49931618045358,-2.150536813839919e-11,-1.2515768466650562e-11,-1.2515768466650562e-11,6.047937266031439e-13
60070.00604166667,144.33007235080004,86.87880263436172,86.87880263436172,-2.1630364448668222e-11,-1.3020295308088259e-11,-1.3020295308088259e-11,6.051179257266368e-13
60070.00638888889,143.06588760390878,89.83601763275892,89.83601763275892,-2.143756719804984e-11,-1.3461389692974177e-11,-1.3461389692974177e-11,6.056608285634915e-13
60070.006736111114,138.85157776251435,92.2867956392467,92.2867956392467,-2.0802849872103756e-11,-1.3826478501701718e-11,-1.3826478501701718e-11,6.064055576054025e-13
60070.00708333333,131.78143856301904,94.1674929213311,94.1674929213311,-1.9740550916840673e-11,-1.4106069936668807e-11,-1.4106069936668807e-11,6.073349507124038e-13
60070.00743055555,122.67726042494178,95.4633914442225,95.4633914442225,-1.8373954694770136e-11,-1.4298004563595825e-11,-1.4298004563595825e-11,6.08431229805529e-13
60070.00777777778,112.340154517442,96.19716375175378,96.19716375175378,-1.6823171372845727e-11,-1.4405724990579322e-11,-1.4405724990579322e-11,6.096758074395082e-13
60070.008125,101.42748821154235,96.4150939375783,96.4150939375783,-1.5186710081303946e-11,-1.4436205656969625e-11,-1.4436205656969625e-11,6.110492529593759e-13
60070.008472222224,90.55744946748018,96.18078815877438,96.18078815877438,-1.3557152480053277e-11,-1.439900989248223e-11,-1.439900989248223e-11,6.125311774430071e-13
60070.00881944445,79.84886518493295,95.5526372751651,95.5526372751651,-1.1952275576724294e-11,-1.4302914013248293e-11,-1.4302914013248293e-11,6.141002406364098e-13
60070.00916666666,68.76423859223723,94.56047436098258,94.56047436098258,-1.0291615240629707e-11,-1.4152414671025308e-11,-1.4152414671025308e-11,6.15734126150599e-13
60070.00951388889,56.1423953063786,93.18840010903243,93.18840010903243,-8.401417974296531e-12,-1.3945160255444448e-11,-1.3945160255444448e-11,6.174096038064733e-13
60070.00986111111,40.76154178380966,91.38057740816268,91.38057740816268,-6.09894841409555e-12,-1.3672825003003618e-11,-1.3672825003003618e-11,6.191024983291768e-13
60070.01020833333,21.698630657047033,89.05784584979216,89.05784584979216,-3.246246923520578e-12,-1.3323594593346648e-11,-1.3323594593346648e-11,6.207877347486415e-13
60070.01055555556,-0.7795943468809128,86.159863907964,86.159863907964,1.1661787690610125e-13,-1.2888472631523884e-11,-1.2888472631523884e-11,6.224394352984993e-13
60070.01090277778,-24.6204077526927,82.69798041856848,82.69798041856848,3.682488862653496e-12,-1.2369185551852156e-11,-1.2369185551852156e-11,6.240310245751397e-13
60070.01125,-48.22422571107745,78.73064083888224,78.73064083888224,7.212135731500643e-12,-1.1774498389252829e-11,-1.1774498389252829e-11,6.255354143464143e-13
60070.01159722222,-71.67174802348018,74.30704116645981,74.30704116645981,1.0717707691300342e-11,-1.1111786283859447e-11,-1.1111786283859447e-11,6.26925252886602e-13
60070.01194444444,-95.40850001946092,69.45802570400494,69.45802570400494,1.4265903628066731e-11,-1.0385673191455705e-11,-1.0385673191455705e-11,6.281730036205977e-13
60070.012291666666,-119.499399330467,64.20920834193628,64.20920834193628,1.7866500193240827e-11,-9.599996649996232e-12,-9.599996649996232e-12,6.292511225883562e-13
60070.01263888889,-143.51832304894924,58.5949507367772,58.5949507367772,2.1455867148473028e-11,-8.759895265434665e-12,-8.759895265434665e-12,6.301322222007113e-13
60070.01298611111,-166.80733589082956,52.66331161499808,52.66331161499808,2.4935746994690968e-11,-7.872549533394694e-12,-7.872549533394694e-12,6.307893025941775e-13
60070.013333333336,-188.92008152604103,46.468865637022716,46.468865637022716,2.8239537754712413e-11,-6.946107978438901e-12,-6.946107978438901e-12,6.311959408091481e-13
60070.01368055555,-209.63544873148203,40.066257777810094,40.066257777810094,3.133431843219987e-11,-5.9887241742430025e-12,-5.9887241742430025e-12,6.313265495805094e-13
60070.014027777775,-228.6427422724664,33.51237972780335,33.51237972780335,3.417377597246248e-11,-5.008882178981621e-12,-5.008882178981621e-12,6.31156627186311e-13
60070.014375,-245.72554798051715,26.86385763951001,26.86385763951001,3.6725691260743097e-11,-4.015023060684856e-12,-4.015023060684856e-12,6.306629441132961e-13
60070.01472222222,-261.08749194815755,20.16731462584332,20.16731462584332,3.9020611674775146e-11,-3.014089057526751e-12,-3.014089057526751e-12,6.298238051675393e-13
60070.015069444446,-274.714463185519,13.465456039221449,13.465456039221449,4.1056526985653486e-11,-2.0124344850204747e-12,-2.0124344850204747e-12,6.286191697122486e-13
60070.01541666667,-285.5523720420897,6.820615415192313,6.820615415192313,4.2675985553954394e-11,-1.0193453580729557e-12,-1.0193453580729557e-12,6.270308832587617e-13
60070.01576388889,-292.0554585084319,0.3233094603309165,0.3233094603309165,4.3648035222881996e-11,-4.83189829236059e-14,-4.83189829236059e-14,6.250428484036802e-13
60070.01611111111,-293.5932095386088,-5.930233497093332,-5.930233497093332,4.3878472201223166e-11,8.862929291106561e-13,8.862929291106561e-13,6.22641249127004e-13
60070.01645833333,-289.60113402456045,-11.840043924748898,-11.840043924748898,4.328290665628392e-11,1.769577034728553e-12,1.769577034728553e-12,6.198147048981144e-13
60070.016805555555,-279.91348711401224,-17.31093052044815,-17.31093052044815,4.1836492921344745e-11,2.5873302128011872e-12,2.5873302128011872e-12,6.16554445198977e-13
60070.01715277778,-267.0594868808985,-22.305901647657155,-22.305901647657155,3.991714036210086e-11,3.334042978109357e-12,3.334042978109357e-12,6.128543535402167e-13
60070.0175,-253.72765362635255,-26.843583059004125,-26.843583059004125,3.792660248922365e-11,4.012514558482354e-12,4.012514558482354e-12,6.087109106172631e-13
60070.017847222225,-240.5625056475401,-30.953562339552892,-30.953562339552892,3.5961152390398234e-11,4.627178991680642e-12,4.627178991680642e-12,6.041230958989287e-13
60070.01819444444,-227.9843012876809,-34.671123451781725,-34.671123451781725,3.4083558632424394e-11,5.1833185984577296e-12,5.1833185984577296e-12,5.990923906550684e-13
60070.018541666665,-215.8876145519316,-38.02698439808079,-38.02698439808079,3.227801301476669e-11,5.68552994511097e-12,5.68552994511097e-12,5.936227078547791e-13
60070.01888888889,-203.5261789336801,-41.03606066236442,-41.03606066236442,3.0432886013304797e-11,6.136044822910666e-12,6.136044822910666e-12,5.877201519829592e-13
60070.01923611111,-190.0747438184917,-43.697465718723834,-43.697465718723834,2.842468779048495e-11,6.534728367048341e-12,6.534728367048341e-12,5.813929732101835e-13
60070.019583333335,-174.91603691503406,-45.99954591515033,-45.99954591515033,2.6160972697703378e-11,6.879831523838789e-12,6.879831523838789e-12,5.746511421364959e-13
60070.01993055556,-158.7318148650229,-47.94320572463089,-47.94320572463089,2.374355034850896e-11,7.171479264945608e-12,7.171479264945608e-12,5.675061262226351e-13
60070.02027777778,-142.14802693203092,-49.53989760950208,-49.53989760950208,2.1265925853146682e-11,7.411371174641024e-12,7.411371174641024e-12,5.599701807546095e-13
60070.020625,-125.54739076271652,-50.806689162055655,-50.806689162055655,1.8785259884507338e-11,7.602044566457278e-12,7.602044566457278e-12,5.520554837157114e-13
60070.02097222222,-109.87088815495372,-52.63787063130488,-51.77495471931628,1.6442291769565335e-11,7.8773116480858e-12,7.748175391559804e-12,5.437723044444652e-13
60070.02131944445,-95.9324089549482,-54.34069986914595,-52.48717172311679,1.4358838420889425e-11,8.133532114945055e-12,7.856102292767837e-12,5.351231917190918e-13
60070.02166666667,-84.07977396249771,-55.95401263988266,-52.98864159993236,1.2587041651308149e-11,8.376514998365293e-12,7.932588391140044e-12,5.261252421020699e-13
60070.02201388889,-73.92832313477993,-57.48596455715597,-53.31582412391435,1.106942031133186e-11,8.60747649483907e-12,7.983073894381408e-12,5.168588767182275e-13
60070.022361111114,-64.46804462000728,-58.90053558324774,-53.48739674693117,9.654815247430061e-12,8.821018108783349e-12,8.010339645036279e-12,5.073948947468641e-13
60070.02270833333,-54.99948340654373,-61.629105568180485,-53.51030715086469,8.238475948442884e-12,9.231539507280056e-12,8.015409439350104e-12,4.977955190480658e-13
60070.02305555555,-45.721693724393845,-64.82944060576459,-53.39405918927557,6.850188061189346e-12,9.712979198193078e-12,7.999689359750679e-12,4.881176498024999e-13
60070.02340277778,-37.192638017237186,-66.93404676107069,-53.155802995569125,5.573551653390137e-12,1.0030489550656796e-11,7.965732722049129e-12,4.78413936246145e-13
60070.02375,-29.50869107618928,-68.73082063316058,-52.813091228621595,4.4230574779254035e-12,1.0302062174853631e-11,7.916153837118197e-12,4.687331865779636e-13
60070.024097222224,-22.86065613105893,-70.47150518335403,-52.38519929865641,3.427373421928566e-12,1.0565408205435471e-11,7.853827062063825e-12,4.591205844722291e-13
60070.02444444445,-17.92356462031603,-72.29046603267392,-51.89982416234176,2.6878157759371396e-12,1.0840670322477568e-11,7.782891913910263e-12,4.49617820750501e-13
60070.02479166666,-15.007275871932508,-74.27444939644387,-51.3874276583083,2.251030700299183e-12,1.1140867087804354e-11,7.707906368576652e-12,4.402631758953749e-13
60070.02513888889,-13.581002809107304,-76.44342548058678,-50.86953142749732,2.0375938001522333e-12,1.146900946940318e-11,7.632090450920896e-12,4.3109156423262797e-13
60070.02548611111,-12.576593615114689,-78.76930220338205,-50.35205929489756,1.8873678686904673e-12,1.1820899566887755e-11,7.556327392289698e-12,4.2213464837460403e-13
60070.02583333333,-10.600614059716465,-81.19929254055023,-49.82204002509514,1.5912322185712017e-12,1.2188626968951993e-11,7.478664427954452e-12,4.1342095029681205e-13
60070.02618055556,-5.865204248577356,-83.64221478849649,-49.24366060698307,8.806344329623118e-13,1.2558507985437298e-11,7.393717473033901e-12,4.0497600269116096e-13
60070.02652777778,3.3872151151299477,-85.97698943472157,-48.56014274046212,-5.087049516046993e-13,1.2912353884506638e-11,7.292948402468489e-12,3.96822485285777e-13
60070.026875,17.895143635571003,-88.08423824664206,-47.70815188948734,-2.6882486870326482e-12,1.323221219326362e-11,7.166825776281411e-12,3.889804064503849e-13
60070.02722222222,36.900382559746504,-89.85366333071143,-46.63715778253501,-5.544678235132636e-12,1.35014765933677e-11,7.007733138987948e-12,3.81467283437106e-13
60070.02756944444,58.88253506273031,-91.18648070904116,-45.318161621969196,-8.849996737621005e-12,1.3705253279778465e-11,6.811282531944913e-12,3.7429825651833775e-13
60070.027916666666,83.58003089949489,-91.98983750343322,-43.72682591182766,-1.2565216434850474e-11,1.3829526091313626e-11,6.573783542289442e-12,3.6748626273781185e-13
60070.02826388889,111.44271424785256,-92.17707993971804,-41.834514446465704,-1.6758278572513713e-11,1.3861194911271881e-11,6.290895297834428e-12,3.6104216505256863e-13
60070.02861111111,140.29226193204522,-91.711211482808,-39.64021593588124,-2.1101869300200847e-11,1.3794616833611988e-11,5.962429033440776e-12,3.549750210294797e-13
60070.028958333336,166.71448160335422,-90.6230949262778,-37.18361239374748,-2.5082397107503475e-11,1.3634355169336114e-11,5.594319839415184e-12,3.4929220701760824e-13
60070.02930555555,188.9969793222845,-88.98243609536439,-34.52266425591181,-2.844185405475676e-11,1.3390824921838665e-11,5.1952606960646695e-12,3.439995310530538e-13
60070.029652777775,206.1568553969264,-86.8773029251645,-31.724065190181136,-3.103178282750501e-11,1.3077215365079074e-11,4.775268324169393e-12,3.391014093073466e-13
60070.03,216.9385249055922,-84.40773148660858,-28.86587449942512,-3.2662537400648256e-11,1.2708534308440667e-11,4.346082402146857e-12,3.3460100004867626e-13
60070.03034722222,221.2816512994468,-81.65541055339078,-26.023288978983395,-3.3324303945356976e-11,1.2297041820163363e-11,3.919023500145351e-12,3.3050029366491154e-13
60070.030694444446,220.95720195025208,-78.65214955061674,-23.248227283149287,-3.328313325445551e-11,1.1847497846356366e-11,3.501917293327868e-12,3.2680019119336667e-13
60070.03104166667,217.84721949324012,-75.38300640334685,-20.56938898563385,-3.282207888837612e-11,1.1357624801313513e-11,3.099099036208349e-12,3.2350057638561665e-13
60070.03138888889,212.66199284046888,-71.82564661689102,-18.006406767764588,-3.204788713705923e-11,1.082403200298792e-11,2.7135421996642033e-12,3.206002568814489e-13
60070.03173611111,205.19597226381305,-67.99537361661594,-15.580293952203963,-3.092936984859681e-11,1.0249002626026281e-11,2.348431446685638e-12,3.1809679250176466e-13
60070.03208333333,196.0122434869409,-63.92476579664896,-13.305105377589502,-2.9551205982805334e-11,9.63742819251604e-12,2.005904848807435e-12,3.1598604458201545e-13
60070.032430555555,186.85133639723065,-59.61604772297044,-11.175781528921203,-2.8175710337112265e-11,8.989630604059046e-12,1.6852198609931933e-12,3.1426138040525483e-13
60070.03277777778,179.19632083922625,-55.03930070865899,-9.17186466188807,-2.7026579594532183e-11,8.30108583961699e-12,1.3833103779914931e-12,3.1291224431946767e-13
60070.033125,173.62684725224972,-50.153863265613715,-7.267711412782469,-2.619139971639306e-11,7.565649557654977e-12,1.0963254683708539e-12,3.119215192738182e-13
60070.033472222225,169.64329369738698,-44.934502986508114,-5.443886617832269,-2.5594975597573952e-11,6.7795047028523e-12,8.213477945548903e-13,3.112620763678699e-13
60070.03381944444,165.62100574746728,-39.39403062586983,-3.6983264916557426,-2.499228182449565e-11,5.944576360716898e-12,5.580790766322951e-13,3.1090590023056755e-13
60070.034166666665,160.09881542995572,-33.57704900993655,-2.0438099065889603,-2.416279934837864e-11,5.067592135263039e-12,3.084605501078391e-13,3.110729481915151e-13
60070.03451388889,172.38081002235413,-27.21011136403928,-0.29956370729952964,-2.6020329772319274e-11,4.1072789409796815e-12,4.521817974252166e-14,3.2025698606232563e-13
60070.03486111111,250.33692075312135,-19.227116980279487,2.1819856437937464,-3.779284209828832e-11,2.902677694744156e-12,-3.294098155739212e-13,3.175645036439793e-13
60070.035208333335,167.98377558216453,-12.331961587568124,3.8074933882875777,-2.5363472134516584e-11,1.8619736519567915e-12,-5.748844025056039e-13,3.2072337420790196e-13
