MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.811319057569039e-13,5.347253169772687e-13,0.0
60068.91680555556,5.985818687826395,2.9929093439131975,2.9929093439131975,-2.04961472311593e-13,-1.024807361557965e-13,-1.024807361557965e-13,3.783949671452542e-13,5.310473596341342e-13,-1.024807361557965e-13
60068.91715277778,8.581559512764215,4.855792733530204,4.855792733530204,-2.939022189965355e-13,-1.6630173772600057e-13,-1.6630173772600057e-13,3.7582205178329677e-13,5.285314631135561e-13,-1.6630173772600057e-13
60068.9175,6.323444668203592,5.222705717198551,5.222705717198551,-2.1660854900697098e-13,-1.7890291868627553e-13,-1.7890291868627553e-13,3.736917160210259e-13,5.270940948907573e-13,-1.7890291868627553e-13
60068.91784722222,-0.7517432495951653,4.027815923839808,4.027815923839808,2.5755722732531925e-14,-1.3799832616782596e-13,-1.3799832616782596e-13,3.719985400043946e-13,5.266533547105776e-13,-1.3799832616782596e-13
60068.91819444444,-10.787696167826653,1.5585639085620642,1.5585639085620642,3.6966824425750456e-13,-5.3408213827858184e-14,-5.3408213827858184e-14,3.707332492659601e-13,5.271303736871964e-13,-5.3408213827858184e-14
60068.918541666666,-22.01319807767868,-1.8088306609008993,-1.8088306609008993,7.544710112553913e-13,6.19950946293202e-14,6.19950946293202e-14,3.6988060866749116e-13,5.284508514574628e-13,6.19950946293202e-14
60068.91888888889,-33.836379159241915,-5.812274223193526,-5.812274223193526,1.159887488837328e-12,1.9924070839395667e-13,1.9924070839395667e-13,3.6941787339427233e-13,5.30547183076265e-13,1.9924070839395667e-13
60068.91923611111,-45.42302626371384,-10.21346889436245,-10.21346889436245,1.5573172540844324e-12,3.501662623908325e-13,3.501662623908325e-13,3.6933459941136763e-13,5.333630495124962e-13,3.501662623908325e-13
60068.919583333336,-50.55414691567421,-14.247536696493626,-14.247536696493626,1.7334976878049361e-12,4.88546903214187e-13,4.88546903214187e-13,3.699873481781848e-13,5.368681394826247e-13,4.88546903214187e-13
60068.91993055555,-12.739913817495108,-14.110480071130125,-14.110480071130125,4.36912780277016e-13,4.839160740989256e-13,4.839160740989256e-13,3.789647836966162e-13,5.410317802644783e-13,4.839160740989256e-13
60068.920277777775,-200.83832118287683,-29.671133497109015,-29.671133497109015,6.888629743994495e-12,1.017701460271133e-12,1.017701460271133e-12,3.777778676194709e-13,5.447188885286084e-13,1.017701460271133e-12
60068.920625,-327.5011339150369,-52.581133529257315,-52.581133529257315,1.1234487400340978e-11,1.8037253033857829e-12,1.8037253033857829e-12,3.8092672388649443e-13,5.49858415557981e-13,1.8037253033857829e-12
60068.92097222222,-383.46478836610913,-76.21568030331817,-76.21568030331817,1.315576992041925e-11,2.614779726375785e-12,2.614779726375785e-12,3.805540608425736e-13,5.554103396386757e-13,2.614779726375785e-12
60068.921319444446,-426.0726529248059,-99.539478478084,-99.539478478084,1.4619106899284293e-11,3.415328974016389e-12,3.415328974016389e-12,3.7964857999299666e-13,5.613433205915043e-13,3.415328974016389e-12
60068.92166666667,-462.74671678990126,-122.23993087257259,-122.23993087257259,1.5878992637662675e-11,4.194620711345336e-12,4.194620711345336e-12,3.788465451240146e-13,5.676578999282814e-13,4.194620711345336e-12
60068.92201388889,-493.731561858207,-144.0923797540805,-144.0923797540805,1.694372384686953e-11,4.9449167920371855e-12,4.9449167920371855e-12,3.783414472279451e-13,5.74344110031914e-13,4.9449167920371855e-12
60068.92236111111,-518.5645901039243,-164.89639144018292,-164.89639144018292,1.779734109021561e-11,5.659309137206043e-12,5.659309137206043e-12,3.7820784956689485e-13,5.8139100722208e-13,5.659309137206043e-12
60068.92270833333,-536.8898378051817,-184.47499388044602,-184.47499388044602,1.8427551085546288e-11,6.3316943893642625e-12,6.3316943893642625e-12,3.784781461782295e-13,5.887886850867707e-13,6.3316943893642625e-12
60068.923055555555,-548.1739823445678,-202.6599433036521,-202.6599433036521,1.8815984967547612e-11,6.9562703987083115e-12,6.9562703987083115e-12,3.791668256207217e-13,5.965280124191788e-13,6.9562703987083115e-12
60068.92340277778,-552.5922977514565,-219.32338875354756,-219.32338875354756,1.8968605859903053e-11,7.528622700773742e-12,7.528622700773742e-12,3.802797136411797e-13,6.045994853383958e-13,7.528622700773742e-12
60068.92375,-550.786727938801,-234.38990417105907,-234.38990417105907,1.8907412489259313e-11,8.046139052886892e-12,8.046139052886892e-12,3.818179727995434e-13,6.129917140384133e-13,8.046139052886892e-12
60068.924097222225,-543.2257681563497,-247.8175504312891,-247.8175504312891,1.864846560131621e-11,8.507359804202471e-12,8.507359804202471e-12,3.837800361731326e-13,6.216898673340538e-13,8.507359804202471e-12
60068.92444444444,-530.7043041996658,-259.60449850497145,-259.60449850497145,1.8219044950826656e-11,8.912205893697488e-12,8.912205893697488e-12,3.861625618965524e-13,6.306741363576678e-13,8.912205893697488e-12
60068.924791666665,-514.5526530370116,-269.80242468625306,-269.80242468625306,1.7664823224223845e-11,9.262438176966914e-12,9.262438176966914e-12,3.889609240090625e-13,6.399184159624915e-13,9.262438176966914e-12
60068.92513888889,-496.3242116458714,-278.51480110777686,-278.51480110777686,1.7039144299037114e-11,9.561600611334005e-12,9.561600611334005e-12,3.921694343006735e-13,6.493893147444321e-13,9.561600611334005e-12
60068.92548611111,-477.09652460739017,-285.8696797559107,-285.8696797559107,1.6379019874631504e-11,9.814083575917284e-12,9.814083575917284e-12,3.957814177085842e-13,6.590456621822603e-13,9.814083575917284e-12
60068.925833333335,-456.7210962064564,-291.97151605771586,-291.97151605771586,1.5679372734341716e-11,1.0023470047922539e-11,1.0023470047922539e-11,3.997892340062494e-13,6.688387060995628e-13,1.0023470047922539e-11
60068.92618055556,-434.34273582324386,-296.8808684634237,-296.8808684634237,1.491086577039098e-11,1.0191837952728376e-11,1.0191837952728376e-11,4.041842131932914e-13,6.787130182925014e-13,1.0191837952728376e-11
60068.92652777778,-409.6567255668342,-300.6400637002041,-300.6400637002041,1.4063063039266967e-11,1.0320641415309645e-11,1.0320641415309645e-11,4.089566373243595e-13,6.886083571177947e-13,1.0320641415309645e-11
60068.926875,-383.10417172685266,-303.30019621719276,-303.30019621719276,1.3151135423953169e-11,1.0411638005883637e-11,1.0411638005883637e-11,4.1409567297972434e-13,6.984623361650902e-13,1.0411638005883637e-11
60068.92722222222,-355.1878283880651,-304.9216847225325,-304.9216847225325,1.2192369095085296e-11,1.0466906318564797e-11,1.0466906318564797e-11,4.195892243880602e-13,7.082137708554127e-13,1.0466906318564797e-11
60068.927569444444,-325.87412993237376,-305.55660730464894,-305.55660730464894,1.1185640756515435e-11,1.0488241091119271e-11,1.0488241091119271e-11,4.2542383196003253e-13,7.178067235549252e-13,1.0488241091119271e-11
60068.92791666667,-294.6414861343801,-305.2355743290528,-305.2355743290528,1.0113075758521958e-11,1.0476700100466542e-11,1.0476700100466542e-11,4.31584573394766e-13,7.271949134964977e-13,1.0476700100466542e-11
60068.92826388889,-260.97976016253233,-303.97112249572365,-303.97112249572365,8.95719713874947e-12,1.0432721935929077e-11,1.0432721935929077e-11,4.38054961241997e-13,7.363461248751019e-13,1.0432721935929077e-11
60068.928611111114,-224.581482488662,-301.7658547177497,-301.7658547177497,7.707488595596607e-12,1.0356405425789898e-11,1.0356405425789898e-11,4.448168468187462e-13,7.452462076193771e-13,1.0356405425789898e-11
60068.92895833333,-185.49012915417552,-298.6232675403558,-298.6232675403558,6.365481403656324e-12,1.0247881463531946e-11,1.0247881463531946e-11,4.5185034637503277e-13,7.539022514088071e-13,1.0247881463531946e-11
60068.92930555555,-144.21738404035568,-294.55995481667156,-294.55995481667156,4.948773362288374e-12,1.0107730546448595e-11,1.0107730546448595e-11,4.591337205056167e-13,7.623444094127117e-13,1.0107730546448595e-11
60068.92965277778,-101.55593974888325,-289.6111339174975,-289.6111339174975,3.4846003631815816e-12,9.937174181300793e-12,9.937174181300793e-12,4.666433168568778e-13,7.706262128246597e-13,9.937174181300793e-12
60068.93,-58.26858080551028,-283.8275700896978,-283.8275700896978,1.999162731954517e-12,9.737966715174802e-12,9.737966715174802e-12,4.743534740247317e-13,7.788230220651565e-13,9.737966715174802e-12
60068.930347222224,-14.927721120417118,-277.26903718800804,-277.26903718800804,5.121200930502551e-13,9.512171615429375e-12,9.512171615429375e-12,4.822364590153794e-13,7.870287046850734e-13,9.512171615429375e-12
60068.93069444445,28.02736162021756,-270.00007531162174,-270.00007531162174,-9.61443639074713e-13,9.262015400364936e-12,9.262015400364936e-12,4.90262428858618e-13,7.95350689270122e-13,9.262015400364936e-12
60068.93104166666,70.14549834281206,-262.08971313361167,-262.08971313361167,-2.406044356107856e-12,8.989878038890174e-12,8.989878038890174e-12,4.983993686017478e-13,8.039036618961897e-13,8.989878038890174e-12
60068.93138888889,111.02713871002197,-253.60978468262,-253.60978468262,-3.8079762182389584e-12,8.698233963377337e-12,8.698233963377337e-12,5.066130411518409e-13,8.128024458101689e-13,8.698233963377337e-12
