MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,3.811319057569039e-13,0.0
60068.91680555556,10.595500115305185,5.297750057652593,5.297750057652593,-2.494266405362331e-13,-1.2471332026811654e-13,-1.2471332026811654e-13,3.783949671452542e-13,-1.2471332026811654e-13
60068.91715277778,17.39909864962101,9.331532921642065,9.331532921642065,-4.096718276747179e-13,-2.1971633266756467e-13,-2.1971633266756467e-13,3.7582205178329677e-13,-2.1971633266756467e-13
60068.9175,18.935665514320135,11.732566069811583,11.732566069811583,-4.459386824971801e-13,-2.7630426041937533e-13,-2.7630426041937533e-13,3.736917160210259e-13,-2.7630426041937533e-13
60068.91784722222,15.216435637325048,12.429339983314275,12.429339983314275,-3.5841802304988937e-13,-2.927689224214134e-13,-2.927689224214134e-13,3.719985400043946e-13,-2.927689224214134e-13
60068.91819444444,8.069094870239496,11.70263246446848,11.70263246446848,-1.9009949481598757e-13,-2.7570186684973303e-13,-2.7570186684973303e-13,3.707332492659601e-13,-2.7570186684973303e-13
60068.918541666666,-0.7472208142280579,9.92408199608326,9.92408199608326,1.7606826297104004e-14,-2.3384197085538576e-13,-2.3384197085538576e-13,3.6988060866749116e-13,-2.3384197085538576e-13
60068.91888888889,-10.644695691764355,7.352984785102308,7.352984785102308,2.508637638755806e-13,-1.732879447495883e-13,-1.732879447495883e-13,3.6941787339427233e-13,-1.732879447495883e-13
60068.91923611111,-20.783065173774958,4.2267570118937225,4.2267570118937225,4.898728067452389e-13,-9.962790875809999e-14,-9.962790875809999e-14,3.6933459941136763e-13,-9.962790875809999e-14
60068.919583333336,-24.91355609893799,1.3127257008105517,1.3127257008105517,5.87320155468654e-13,-3.094661635721352e-14,-3.094661635721352e-14,3.699873481781848e-13,-3.094661635721352e-14
