MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.319970107595692e-13,0.0
60068.91680555556,15.861731570214033,7.930865785107017,7.930865785107017,-3.7614810475811265e-13,-1.8807405237905633e-13,-1.8807405237905633e-13,2.351878608494318e-13,-1.8807405237905633e-13
60068.91715277778,17.788809686899185,11.216847085704407,11.216847085704407,-4.2185803612891644e-13,-2.6600526771718215e-13,-2.6600526771718215e-13,2.384329124754229e-13,-2.6600526771718215e-13
60068.9175,1.1424551382660866,8.698249098844826,8.698249098844826,-2.7093517422796643e-14,-2.062804530469791e-13,-2.062804530469791e-13,2.421099814409149e-13,-2.062804530469791e-13
60068.91784722222,-30.84272252768278,0.7900547735393048,0.7900547735393048,7.314444552851291e-13,-1.8736386937249054e-14,-1.8736386937249054e-14,2.4091785304740584e-13,-1.8736386937249054e-14
60068.91819444444,-65.90279709920287,-10.32542053858439,-10.32542053858439,1.562897359233146e-12,2.448693106065512e-13,2.448693106065512e-13,2.4044745490387e-13,2.448693106065512e-13
60068.918541666666,-94.05678069218993,-22.287043417670898,-22.287043417670898,2.2305412000673217e-12,5.285335964611857e-13,5.285335964611857e-13,2.4293390610740877e-13,5.285335964611857e-13
60068.91888888889,-113.3782443292439,-33.67344353161752,-33.67344353161752,2.688679039213857e-12,7.985401638315812e-13,7.985401638315812e-13,2.4693363506514405e-13,7.985401638315812e-13
60068.91923611111,-125.94157596305013,-43.92545824622115,-43.92545824622115,2.9865036453870855e-12,1.0416221980271668e-12,1.0416221980271668e-12,2.5170107082522605e-13,1.0416221980271668e-12
60068.919583333336,-134.18857657164335,-52.95177007876337,-52.95177007876337,3.181924063286908e-12,1.2556099461811992e-12,1.2556099461811992e-12,2.5692495070780686e-13,1.2556099461811992e-12
60068.91993055555,-139.90369302779436,-60.85649034685709,-60.85649034685709,3.3172599553560174e-12,1.442969760712697e-12,1.442969760712697e-12,2.624961685815767e-13,1.442969760712697e-12
60068.920277777775,-144.05528292432427,-67.78972306164603,-67.78972306164603,3.4154769380882698e-12,1.6072595954573431e-12,1.6072595954573431e-12,2.6838792976198977e-13,1.6072595954573431e-12
60068.920625,-146.48844098299742,-73.84347059405766,-73.84347059405766,3.4729077974242508e-12,1.7506607558526546e-12,1.7506607558526546e-12,2.746040347279183e-13,1.7506607558526546e-12
