MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho
60025.91645833333,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,1.73241376688484e-12
60025.91680555556,-9.967729162424805,-4.983864581212402,-4.983864581212402,-1.0861725553966639e-13,-5.4308627769833194e-14,-5.4308627769833194e-14,1.7074002030232263e-12
60025.91715277778,-16.28461167216301,-8.750780278195938,-8.750780278195938,-1.7748422655088411e-13,-9.5373810604723e-14,-9.5373810604723e-14,1.6811329176055064e-12
60025.9175,-17.906003069132566,-11.039585975930095,-11.039585975930095,-1.951925122761739e-13,-1.20342016742154e-13,-1.20342016742154e-13,1.6537486105347557e-12
60025.91784722222,-14.353029243648052,-11.702274629473687,-11.702274629473687,-1.5649202473358098e-13,-1.2759067230112433e-13,-1.2759067230112433e-13,1.6253842962327082e-12
60025.91819444444,-5.777516700327396,-10.71481497461597,-10.71481497461597,-6.300508357092816e-14,-1.1684740139036835e-13,-1.1684740139036835e-13,1.5961763069591224e-12
60025.918541666666,7.188575938344002,-8.157187701335975,-8.157187701335975,7.84086885753368e-14,-8.89737265920794e-14,-8.89737265920794e-14,1.5662592021372741e-12
60025.91888888889,23.96805415675044,-4.141532469075173,-4.141532469075173,2.6148202484977495e-13,-4.5182487026793645e-14,-4.5182487026793645e-14,1.5357647601120498e-12
60025.91923611111,43.90333679318428,1.1967863378425438,1.1967863378425438,4.790652980321317e-13,1.3059116812012545e-14,1.3059116812012545e-14,1.504821178126086e-12
60025.919583333336,65.8150951936841,7.6586172234267,7.6586172234267,7.183081506657508e-13,8.35864045813068e-14,8.35864045813068e-14,1.4735521797663635e-12
60025.91993055555,87.94914320856333,14.957755949348211,14.957755949348211,9.600736633991286e-13,1.6328240420109752e-13,1.6328240420109752e-13,1.4420764802752487e-12
60025.920277777775,108.2998439334333,22.736263281355303,22.736263281355303,1.1824630988866118e-12,2.482440542878166e-13,2.482440542878166e-13,1.4105070154716798e-12
60025.920625,125.15619331598282,30.614719437865112,30.614719437865112,1.3667770933560773e-12,3.343302168159947e-13,3.343302168159947e-13,1.378950520569304e-12
60025.92097222222,138.13603794202209,38.294813616733464,38.294813616733464,1.5088160125548312e-12,4.1828207065690823e-13,4.1828207065690823e-13,1.3475070460674316e-12
60025.921319444446,147.8201174288988,45.596500537544486,45.596500537544486,1.614896712892003e-12,4.98130025318622e-13,4.98130025318622e-13,1.3162697907485455e-12
60025.92166666667,154.16818568110466,52.382230859017,52.382230859017,1.684556127403517e-12,5.7236716882138e-13,5.7236716882138e-13,1.2853250236658319e-12
60025.92201388889,155.86255069449544,58.469308496398085,58.469308496398085,1.703371014635218e-12,6.389920150462836e-13,6.389920150462836e-13,1.254752069775876e-12
60025.92236111111,151.44047167897224,63.6343731176522,63.6343731176522,1.6553241720902468e-12,6.955572366464406e-13,6.955572366464406e-13,1.2246232665247587e-12
60025.92270833333,141.4550750553608,67.73019953542634,67.73019953542634,1.5464283736308454e-12,7.404464086726495e-13,7.404464086726495e-13,1.195003963865504e-12
60025.923055555555,127.87048567086458,70.73721384219826,70.73721384219826,1.3981313866212636e-12,7.734382047275818e-13,7.734382047275818e-13,1.165952661648688e-12
60025.92340277778,112.72495962306856,72.73663030795399,72.73663030795399,1.2327075967952894e-12,7.95413873251513e-13,7.95413873251513e-13,1.1375213897980606e-12
60025.92375,99.50385143980384,73.95332217758352,73.95332217758352,1.0882729218870472e-12,8.088269634280564e-13,8.088269634280564e-13,1.1097560449428823e-12
60025.924097222225,91.94413228705524,74.73553131277795,74.73553131277795,1.0057157939912872e-12,8.174823378497782e-13,8.174823378497782e-13,1.0826969440912712e-12
60025.92444444444,91.05878111720084,75.41566672129557,75.41566672129557,9.961426476417985e-13,8.250139195771851e-13,8.250139195771851e-13,1.0563795742959608e-12
