MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,nrlmsise00_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.3294083808579785e-13,3.5967900911785287e-13,0.0
60068.91680555556,-466.8440464809537,-233.42202324047685,-233.42202324047685,1.610127791445326e-11,8.05063895722663e-12,8.05063895722663e-12,2.361462294133391e-13,3.581414380601724e-13,8.05063895722663e-12
60068.91715277778,-766.411136597395,-411.0850610261162,-411.0850610261162,2.6433905294778773e-11,1.4178530363620037e-11,1.4178530363620037e-11,2.3940537262808533e-13,3.5669866099889465e-13,1.4178530363620037e-11
60068.9175,-896.2013235166669,-532.3641266487539,-532.3641266487539,3.091091058051627e-11,1.8361789347221645e-11,1.8361789347221645e-11,2.430977033840244e-13,3.554610894951324e-13,1.8361789347221645e-11
60068.91784722222,-854.6556105092168,-596.8224234208465,-596.8224234208465,2.9478115981261635e-11,2.0585134411432763e-11,2.0585134411432763e-11,2.4190237411407216e-13,3.545507733732895e-13,2.0585134411432763e-11
60068.91819444444,-640.569253243506,-604.1135617246231,-604.1135617246231,2.209391241123436e-11,2.0836516975485913e-11,2.0836516975485913e-11,2.4142990929503637e-13,3.5411777740829565e-13,2.0836516975485913e-11
60068.918541666666,-253.77028324827552,-554.0645219422877,-554.0645219422877,8.75267662574756e-12,1.910999005985155e-11,1.910999005985155e-11,2.4392407167427866e-13,3.543280148631079e-13,1.910999005985155e-11
60068.91888888889,304.3525524698198,-446.76238764077425,-446.76238764077425,-1.0497025762650543e-11,1.5408697100752963e-11,1.5408697100752963e-11,2.4793591689615735e-13,3.553405157922513e-13,1.5408697100752963e-11
60068.91923611111,1031.385317131877,-282.52375377714634,-282.52375377714634,-3.5570920462559483e-11,9.74381718205673e-12,9.74381718205673e-12,2.527170842157241e-13,3.572984392215262e-13,9.74381718205673e-12
60068.919583333336,1924.073936097324,-61.863984789699316,-61.863984789699316,-6.635542851979367e-11,2.1334997287000596e-12,2.1334997287000596e-12,2.5795512356698623e-13,3.603308331972674e-13,2.1334997287000596e-12
60068.91993055555,2978.156790561974,214.50154024227098,214.50154024227098,-1.027019232070536e-10,-7.397099032384878e-12,-7.397099032384878e-12,2.635404945849979e-13,3.645546377767292e-13,-7.397099032384878e-12
60068.920277777775,4188.747114326805,545.6886714159822,545.6886714159822,-1.4443994161264494e-10,-1.881690101759072e-11,-1.881690101759072e-11,2.694462336360471e-13,3.70074809037179e-13,-1.881690101759072e-11
60068.920625,5551.115635167807,930.7215147815072,930.7215147815072,-1.9140422504520894e-10,-3.2091572573460206e-11,-3.2091572573460206e-11,2.756760753811278e-13,3.76983468661518e-13,-3.2091572573460206e-11
60068.92097222222,7059.9817344509065,1368.5258161864642,1368.5258161864642,-2.4341028313939454e-10,-4.7183302865503275e-11,-4.7183302865503275e-11,2.822436491510501e-13,3.8535872094001757e-13,-4.7183302865503275e-11
60068.921319444446,8708.265937142074,1857.8418242501716,1857.8418242501716,-3.0021144725714166e-10,-6.404781237262446e-11,-6.404781237262446e-11,2.8916447786826534e-13,3.9526344945796663e-13,-6.404781237262446e-11
60068.92166666667,10487.389631632715,2397.1885622115806,2397.1885622115806,-3.615092822996714e-10,-8.263313818799858e-11,-8.263313818799858e-11,2.964530185939169e-13,4.067441877086696e-13,-8.263313818799858e-11
60068.92201388889,12387.797924179584,2984.8714658567574,2984.8714658567574,-4.269716859450133e-10,-1.0287991537369442e-10,-1.0287991537369442e-10,3.0412165461599867e-13,4.198302270438298e-13,-1.0287991537369442e-10
