MJD,EDR,EDR60,EDR180,rho_eff,rho_eff_60,rho_eff_180,jb08_rho,rho_eff_360
60068.91645833333,-0.0,-0.0,-0.0,0.0,0.0,0.0,2.3294083808579785e-13,0.0
60068.91680555556,14.589230962097645,7.294615481048822,7.294615481048822,-3.459342986894428e-13,-1.729671493447214e-13,-1.729671493447214e-13,2.361462294133391e-13,-1.729671493447214e-13
60068.91715277778,15.723601471632719,10.104277477910122,10.104277477910122,-3.728415056727855e-13,-2.395948558856748e-13,-2.395948558856748e-13,2.3940537262808533e-13,-2.395948558856748e-13
60068.9175,-1.230949617922306,7.2704707039520144,7.2704707039520144,2.91889987685412e-14,-1.7240166237068917e-13,-1.7240166237068917e-13,2.430977033840244e-13,-1.7240166237068917e-13
60068.91784722222,-33.049603555351496,-0.7935441479086875,-0.7935441479086875,7.83695823086266e-13,1.881708605396838e-14,1.881708605396838e-14,2.4190237411407216e-13,1.881708605396838e-14
60068.91819444444,-67.50686362013221,-11.912430726612607,-11.912430726612607,1.6007634975366066e-12,2.8247474777376705e-13,2.8247474777376705e-13,2.4142990929503637e-13,2.8247474777376705e-13
60068.918541666666,-94.6388444378972,-23.730489828224695,-23.730489828224695,2.244100230374069e-12,5.627033804851029e-13,5.627033804851029e-13,2.4392407167427866e-13,5.627033804851029e-13
60068.91888888889,-112.46319044008851,-34.82207740470767,-34.82207740470767,2.666689291747031e-12,8.256893706122314e-13,8.256893706122314e-13,2.4793591689615735e-13,8.256893706122314e-13
60068.91923611111,-122.97430665791035,-44.616769543952415,-44.616769543952415,2.9158235828840903e-12,1.0579008929910703e-12,1.0579008929910703e-12,2.527170842157241e-13,1.0579008929910703e-12
60068.919583333336,-128.5398928821087,-53.00908187776804,-53.00908187776804,3.0476517382821983e-12,1.2568333216030674e-12,1.2568333216030674e-12,2.5795512356698623e-13,1.2568333216030674e-12
60068.91993055555,-131.07286155596375,-60.10578912124038,-60.10578912124038,3.1075383827130805e-12,1.4250169295172022e-12,1.4250169295172022e-12,2.635404945849979e-13,1.4250169295172022e-12
60068.920277777775,-131.74729961156845,-66.07591499543439,-66.07591499543439,3.123327948450675e-12,1.5664590669649657e-12,1.5664590669649657e-12,2.694462336360471e-13,1.5664590669649657e-12
60068.920625,-130.50733826309443,-71.03217832371593,-71.03217832371593,3.093704867538077e-12,1.6838332522643707e-12,1.6838332522643707e-12,2.756760753811278e-13,1.6838332522643707e-12
60068.92097222222,-127.00574155524373,-75.03028998311076,-75.03028998311076,3.0104498799178318e-12,1.7784623333080339e-12,1.7784623333080339e-12,2.822436491510501e-13,1.7784623333080339e-12
60068.921319444446,-121.98860888555646,-78.16084457660715,-78.16084457660715,2.8912626517324307e-12,1.8524969898149577e-12,1.8524969898149577e-12,2.8916447786826534e-13,1.8524969898149577e-12
60068.92166666667,-117.05738790333271,-80.5918785345275,-80.5918785345275,2.774109379974109e-12,1.9099237578835597e-12,1.9099237578835597e-12,2.964530185939169e-13,1.9099237578835597e-12
60068.92201388889,-114.15809495002031,-82.5663618530859,-82.5663618530859,2.7051065703804306e-12,1.956504337594073e-12,1.956504337594073e-12,3.0412165461599867e-13,1.956504337594073e-12
60068.92236111111,-115.40415383130312,-84.39068362965352,-84.39068362965352,2.7343156247299323e-12,1.9995013798854395e-12,1.9995013798854395e-12,3.1218043370721305e-13,1.9995013798854395e-12
60068.92270833333,-122.60617094859481,-86.40202506749253,-86.40202506749253,2.904596827457914e-12,2.0469038870987943e-12,2.0469038870987943e-12,3.20637006679449e-13,2.0469038870987943e-12
60068.923055555555,-136.19893223047256,-88.89187042564154,-88.89187042564154,3.2261946271600766e-12,2.105614706876909e-12,2.105614706876909e-12,3.294966685289999e-13,2.105614706876909e-12
60068.92340277778,-155.13056245073676,-92.04609385540797,-92.04609385540797,3.674131745042801e-12,2.1800312594672565e-12,2.1800312594672565e-12,3.387623196086688e-13,2.1800312594672565e-12
60068.92375,-177.887734554708,-95.94798661446707,-95.94798661446707,4.212512306364277e-12,2.272118847294749e-12,2.272118847294749e-12,3.484345112575029e-13,2.272118847294749e-12
60068.924097222225,-201.87445683404803,-100.55348531966624,-100.55348531966624,4.77982329530483e-12,2.3808256829150784e-12,2.3808256829150784e-12,3.585113364062998e-13,2.3808256829150784e-12
60068.92444444444,-223.66581351310015,-105.68316566105932,-105.68316566105932,5.294963655204755e-12,2.5018956288083658e-12,2.5018956288083658e-12,3.6898841046248e-13,2.5018956288083658e-12
60068.924791666665,-241.54714450612664,-111.11772481486202,-111.11772481486202,5.717364935262858e-12,2.6301307963777885e-12,2.6301307963777885e-12,3.798588040119887e-13,2.6301307963777885e-12
60068.92513888889,-255.28413524478674,-116.6625867544745,-116.6625867544745,6.0415224832760795e-12,2.760922217741681e-12,2.760922217741681e-12,3.9111293375265136e-13,2.760922217741681e-12
60068.92548611111,-264.0784301646054,-122.12243280670157,-122.12243280670157,6.248592079084989e-12,2.8896463290806934e-12,2.8896463290806934e-12,4.027384389396161e-13,2.8896463290806934e-12
60068.925833333335,-267.3153867647052,-127.30789544805884,-127.30789544805884,6.3240918742135005e-12,3.011823737011283e-12,3.011823737011283e-12,4.1472008327833544e-13,3.011823737011283e-12
60068.92618055556,-265.39699306339025,-132.06958846927716,-132.06958846927716,6.277600469065396e-12,3.123924280204568e-12,3.123924280204568e-12,4.270396547880289e-13,3.123924280204568e-12
60068.92652777778,-259.60582672432065,-136.32079641111196,-136.32079641111196,6.13951811832715e-12,3.223902984117425e-12,3.223902984117425e-12,4.3967586861934357e-13,3.223902984117425e-12
60068.926875,-251.78180967271328,-140.04534522600233,-140.04534522600233,5.953403799859031e-12,3.3113849308845003e-12,3.3113849308845003e-12,4.5260430776992067e-13,3.3113849308845003e-12
60068.92722222222,-243.5238307006657,-143.27904789708555,-143.27904789708555,5.757086846124565e-12,3.3872246490220302e-12,3.3872246490220302e-12,4.657972889873408e-13,3.3872246490220302e-12
60068.927569444444,-235.94243291392922,-146.08702926123232,-146.08702926123232,5.576826654721566e-12,3.452969559699037e-12,3.452969559699037e-12,4.792238104731245e-13,3.452969559699037e-12
60068.92791666667,-229.63614819198847,-148.5443562886075,-148.5443562886075,5.426762302288133e-12,3.5104007764958496e-12,3.5104007764958496e-12,4.928495303341415e-13,3.5104007764958496e-12
60068.92826388889,-224.37238989770412,-150.71087153458168,-150.71087153458168,5.301384508606305e-12,3.5609384915686626e-12,3.5609384915686626e-12,5.066367560218612e-13,3.5609384915686626e-12
60068.928611111114,-219.3756340406835,-152.61822604864008,-152.61822604864008,5.182361616384474e-12,3.605335843672063e-12,3.605335843672063e-12,5.205445100075392e-13,3.605335843672063e-12
60068.92895833333,-214.24077356234193,-154.28370030576716,-154.28370030576716,5.06012420835679e-12,3.644006105331308e-12,3.644006105331308e-12,5.345286383054259e-13,3.644006105331308e-12
60068.92930555555,-209.30753339454532,-155.7316959133666,-155.7316959133666,4.942698240345326e-12,3.677530220118921e-12,3.677530220118921e-12,5.485418924264254e-13,3.677530220118921e-12
60068.92965277778,-205.05076275393367,-156.99628737081702,-156.99628737081702,4.841294580957139e-12,3.7067176199233386e-12,3.7067176199233386e-12,5.625340079176531e-13,3.7067176199233386e-12
60068.93,-201.684392914176,-158.113490009401,-158.113490009401,4.760956131031499e-12,3.732422617249204e-12,3.732422617249204e-12,5.764518097821107e-13,3.732422617249204e-12
60068.930347222224,-199.67536078765988,-159.1271941747244,-159.1271941747244,4.712693654080045e-12,3.7556848036762495e-12,3.7556848036762495e-12,5.902391584088354e-13,3.7556848036762495e-12
60068.93069444445,-200.05926593020558,-160.10176731175966,-160.10176731175966,4.720929531199542e-12,3.77802626529185e-12,3.77802626529185e-12,6.038367409491089e-13,3.77802626529185e-12
60068.93104166666,-203.5056942179799,-161.1111609607415,-161.1111609607415,4.801434349759597e-12,3.801194189377167e-12,3.801194189377167e-12,6.171808460004789e-13,3.801194189377167e-12
