MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60070.08347222222,-6823094.111718788,652115.1402866086,280224.5553439394,-330.24595149378587,-105.51604390061061,-7621.883948422622,2.2130385568664157,-78.88918847794686,6853533.936178157,29106655.473610442,58105765.700443186,-27144.594533574807,-27203.203494910562,0.0
60070.083819444444,-6829203.551193398,648587.40963245,51454.22642175199,-77.01579975718302,-129.6439385696483,-7628.052798626175,0.3016079160112907,-78.98081312315688,6853748.269787232,29104964.241424356,58103950.014683105,-27261.744414897883,-27326.03092316542,-1.626145739108324
60070.08416666667,-6827714.437932694,644337.9662324535,-177373.48852245818,176.27649559014395,-153.62562680862197,-7625.7095756045655,-1.6097036212657958,-79.07245127137914,6853965.691574236,29103060.383788526,58102108.69003128,-27196.88035185189,-27265.513862592597,0.38977769389748573
60070.08451388889,-6818629.205288305,639371.6053943597,-406003.27053175523,429.34445211990146,-177.43395839791344,-7614.858966144506,-3.5208875986575157,-79.16402778633179,6854185.983351898,29100948.271215133,58100243.57845427,-26950.369617699314,-27022.12814420003,4.0050556845963
60070.084861111114,-6801958.871747285,633693.9302563947,-634180.096361982,681.9023924784509,-201.04221145372287,-7595.515713755062,-5.431935815595322,-79.25546697960098,6854408.954136239,29098633.900777053,58098356.29935991,-26523.391270293763,-26597.303320621893,6.271575823426247
60070.08520833333,-6777723.009737698,627311.338211027,-861649.5265522171,933.6656068376759,-224.42400278689917,-7567.70410273459,-7.34284026579812,-79.34669188604025,6854634.427021033,29096121.492482204,58096448.35081322,-25917.930232979583,-25993.393694674138,6.821698032319546
60070.08555555555,-6745949.720668115,620231.0167191224,-1088157.9954814983,1184.350276734591,-247.5530676881594,-7531.458045206375,-9.253593101211518,-79.43762358840321,6854862.242601647,29093414.19301347,58094521.08059412,-25136.767583285597,-25213.322569738913,6.779822736978531
60070.08590277778,-6706675.603394901,612460.9427106585,-1313453.0994404433,1433.6739839789052,-270.4031892937475,-7486.821340166321,-11.16418657963529,-79.52818054065668,6855092.265455813,29090516.378344003,58092575.631395504,-24183.467275630133,-24260.495767563236,6.318491410464048
60070.08625,-6659945.696361198,604009.874952443,-1537283.9017619179,1681.3563305396701,-292.94839913909243,-7433.847550370987,-13.074613186019517,-79.61827780218029,6855324.377443769,29087433.638480358,58090612.9976393,-23062.359433696896,-23138.935076611215,4.863907899707556
60070.086597222224,-6605813.419055757,594887.3438220108,-1759401.2099530923,1927.1191723237966,-315.1631970757027,-7372.599779356229,-14.984865535015087,-79.70782618293997,6855558.476441429,29084171.82584623,58088634.03628624,-21778.520249781202,-21853.431844162256,2.211956523358822
60070.08694444445,-6544340.499784801,585103.6369949486,-1979557.8718582098,2170.6867592545887,-337.02260361397776,-7303.150640950665,-16.894936458613326,-79.7967312772077,6855794.475305041,29080737.26328402,58086639.47569115,-20337.74845926569,-20409.73768880027,-1.4802317284047604
60070.08729166666,-6475596.896537265,574669.7862487948,-2197509.0528368703,2411.7861125342547,-358.50215061473034,-7225.582205324531,-18.804818958461144,-79.88489240197545,6856032.3008863535,29077137.125255495,58084629.92403492,-18746.53867578729,-18814.416697240034,-6.21485098451376
60070.08763888889,-6399660.714578582,563597.546094113,-2413012.5209494624,2650.147420359234,-379.57790074237664,-7139.985827978883,-20.714506231161014,-79.97220132912047,6856271.901444303,29073379.178053994,58082605.80669674,-17012.051529893393,-17074.68676870885,-12.114916194230318
60070.08798611111,-6316618.096766832,551899.3837987324,-2625828.9242042657,2885.504378263047,-400.22646518278833,-7046.4619812102455,-22.623991699587535,-80.0585409684651,6856513.23786658,29069471.59652467,58080567.440676816,-15142.08099003312,-15198.49531929457,-19.090856213122606
