MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff,HOT_plus_total_diff
60068.91645833333,-2347129.071278422,100442.7778663073,-6454631.77064084,7115.107224838235,-701.390145840523,-2607.8962327932163,-70.12883043678167,-14.62534997035334,13221751.916821044,28958910.859322246,58029987.821616806,44781.008532453154,44839.312830567396,0.0,0.0
60068.91680555556,-2132422.4088554694,79349.59541067126,-6529289.532457235,7197.35271205046,-704.692862165198,-2368.8401593205895,-72.03033530931489,-14.431391258212816,13221588.46834316,28954940.89602834,58027670.41794656,46429.41708167872,46497.85827291677,-5.985818687826395,-5.985818687826395
60068.91715277778,-1915367.3768839105,58168.970849684556,-6596736.632744323,7271.65161505789,-707.2190850797804,-2127.2294452317524,-73.93099358922346,-14.164658107641998,13221466.151554056,28951090.578868046,58025329.94759388,47931.90797448469,48010.30082135589,-8.581559512764215,-8.581559512764215
60068.9175,-1696203.552754224,36924.23948429921,-6656900.406559644,7337.926710392246,-708.9663450109944,-1883.3295359471954,-75.8305505404562,-13.795896950286505,13221386.636487752,28947365.91320865,58022967.40668944,49281.92238580929,49370.16746147041,-6.323444668203592,-6.323444668203592
60068.91784722222,-1475172.6992813463,15638.796487173764,-6709716.18906608,7396.109661566844,-709.9330468168736,-1637.4081448404136,-77.7285921517839,-13.277811829809549,13221351.40099643,28943774.24483741,58020583.89142722,50473.580065296104,50571.24538256504,0.7517432495951653,0.7517432495951653
60068.91819444444,-1252518.4910421185,-5663.929793158779,-6755127.374146288,7446.14113473775,-710.1184968825821,-1389.7346749958701,-79.62439974854155,-12.5286674951885,13221361.719020454,28940324.27246712,58018180.63344627,51501.70456717258,51607.92381898666,10.787696167826653,10.787696167826653
60068.918541666666,-1028486.2545704921,-26960.50205750711,-6793085.454985892,7487.970512045004,-709.5228387347723,-1140.5797639656855,-81.516610462098,-11.394144222642824,13221418.64480653,28937023.6229549,58015759.07710045,52361.84535599076,52475.79148347802,22.01319807767868,22.01319807767868
60068.91888888889,-803322.7055154378,-48227.498262072986,-6823550.062663737,7521.555684183605,-708.1469998283698,-890.2152258051066,-83.40229790683071,-9.54458915043214,13221523.003268812,28933877.615947925,58013320.912526585,53050.29660288897,53171.81073550962,33.836379159241915,33.836379159241915
60068.91923611111,-577275.6936721482,-69441.53729167562,-6846489.001724207,7546.863126663235,-705.9927555571016,-638.9140238422021,-85.27387675690242,-6.132665116699905,13221675.3872642,28930889.976675257,58010868.058398254,53564.11251233061,53695.009232742064,45.42302626371384,45.42302626371384
60068.919583333336,-350593.94488839386,-90579.30466760125,-6861878.276756628,7563.868118793259,-703.0627192370199,-386.95006547009143,-87.10422583574405,1.8077237800304229,13221876.153437648,28928064.229422666,58008402.66494784,53901.119355491915,54050.23191426295,50.55414691567421,50.55414691567421
60068.91993055555,-123526.79229663344,-111617.57541766526,-6869702.121998762,7572.55484986888,-699.3602440113116,-134.59774318757763,-88.70560692621761,32.46083815805609,13222125.429030584,28925404.12882373,58005927.03282385,54059.92387223427,54272.51462231245,12.739913817495108,12.739913817495108
60068.920277777775,103676.09030724815,-132533.23601567466,-6869953.00293542,7572.916278778254,-694.8894325673258,117.86839611726344,-88.51536757421141,118.45763967140317,13222423.100826992,28922912.623840842,58003443.691378474,54039.91864228602,54092.579752455895,200.83832118287683,200.83832118287683
60068.920625,330764.94606867974,-153303.30708049994,-6862631.625876849,7564.95412335344,-689.655245867136,370.1737740942539,-86.84251921970542,142.4833173211593,13222768.821235104,28920591.93481073,58000955.340935186,53841.283619435104,53798.25552654793,327.5011339150369,327.5011339150369
60068.92097222222,557490.2043410875,-173904.97531028817,-6847746.9285629885,7548.678956502848,-683.663527048133,622.0440273161105,-85.00296804352068,149.3474817150777,13223162.00445227,28918444.28924223,57998464.8874428,53464.98446467678,53399.48394820953,383.46478836610913,383.46478836610913
60068.921319444446,783602.7443239391,-194315.60994189934,-6825316.073755527,7524.110233430702,-676.9209246575458,873.2053232155616,-83.12945624751522,152.43379577853395,13223601.834897827,28916472.139773913,57995975.382241555,52912.76717157455,52839.520350724066,426.0726529248059,426.0726529248059
60068.92166666667,1008854.1628462786,-214512.79535442457,-6795364.427838836,7491.2762933189515,-669.4348556039386,1123.3847331811703,-81.24384717170065,154.14531933264578,13224087.270803288,28914678.39374226,57993490.011340655,52187.14940354685,52111.22141761448,462.74671678990126,462.74671678990126
60068.92201388889,1232997.0377692343,-234474.34897234477,-6757925.525411388,7450.2141963442045,-661.2135399306304,1372.310654525489,-79.35263677674062,155.209042909158,13224617.04287466,28913065.724660244,57991012.13471867,51291.40860945729,51215.02903257576,493.731561858207,493.731561858207
60068.92236111111,1455785.1859190993,-254178.34540141496,-6713041.0248647835,7400.9694850926035,-652.2660236438633,1619.712994822215,-77.45841496212257,155.9171790620628,13225189.652605947,28911635.235234007,57988545.33679847,50229.566865690496,50153.88751036458,518.5645901039243,518.5645901039243
60068.92270833333,1676973.9185516245,-273603.14613754256,-6660760.66695693,7343.596184687854,-642.6021339366171,1865.3232368045005,-75.56241234853522,156.4094261168138,13225803.381895272,28910386.602032352,57986093.38955813,49006.37226864486,48932.24822397733,536.8898378051817,536.8898378051817
60068.923055555555,1896320.29431724,-292727.41427317896,-6601142.219380143,7278.156853933431,-632.232401644319,2108.8747210482093,-73.66528604352018,156.76087113491212,13226456.296090884,28909318.79461164,57983660.278787464,47627.27738462035,47555.66072948796,548.1739823445678,548.1739823445678
60068.92340277778,2113583.376126724,-311530.1435206457,-6534251.417337557,7204.722492141002,-621.1680684722697,2350.102910781984,-71.76741715716456,157.01543838141805,13227146.25312519,28908429.824658982,57981250.18651315,46098.41451731878,46030.12009242313,552.5922977514565,552.5922977514565
60068.92375,2328524.484505117,-329990.67248807335,-6460161.900112066,7123.372536257608,-609.4211155559866,2588.745602494824,-69.86904064014831,157.20052487494556,13227870.916086819,28907717.09041547,57978867.4514788,44426.56804229889,44361.924871401745,550.786727938801,550.786727938801
60068.924097222225,2540907.4481519,-348088.7109329533,-6378955.13262859,7034.194819521919,-597.0042234347977,2824.543243428411,-67.97030815442051,157.33410114250987,13228627.759671735,28907177.667892545,57976516.58801552,42619.144084344574,42558.044890824,543.2257681563497,543.2257681563497
60068.92444444444,2750498.854238702,-365804.35980646685,-6290720.324015921,6937.285413518795,-583.9307813388315,3057.239156832724,-66.07132107816615,157.4284428821588,13229414.08215979,28906807.66404344,57974202.26461162,40684.13744953196,40626.24679998352,530.7043041996658,530.7043041996658
60068.924791666665,2957068.295391354,-383118.133157882,-6195554.338161122,6832.748565924118,-570.2149273056964,3286.5797033073213,-64.17214898514088,157.4922208216442,13230227.01745454,28906602.08732599,57971929.28779951,38630.09608398648,38574.99835648673,514.5526530370116,514.5526530370116
60068.92513888889,3160388.6148024895,-400010.97949944716,-6093561.600259642,6720.696689997719,-555.8715337273181,3512.314495824847,-62.27284055767948,157.53173360295662,13231063.551101383,28906555.139268003,57969702.557858825,36466.08316137961,36413.4449151836,496.3242116458714,496.3242116458714
60068.92548611111,3360236.150030059,-416464.30458856525,-5984853.996362515,6601.250390231898,-540.916139529347,3734.196670671876,-60.37343031532505,157.55166727052352,13231920.537790172,28906660.879898515,57967527.0169071,34201.63701573895,34151.391019987226,477.09652460739017,477.09652460739017
60068.925833333335,3556390.9799891603,-432459.9892288828,-5869550.7569307545,6474.538435780539,-525.3648691998028,3951.983302107048,-58.47394285580309,157.55558070700678,13232794.714782085,28906914.11116088,57965407.635924675,31846.729099556418,31799.154203593833,456.7210962064564,456.7210962064564
60068.92618055556,3748637.1644583475,-447980.40501325263,-5747778.340373085,6340.6975058337075,-509.23440440617117,4165.435800133393,-56.57439570399879,157.54622578153885,13233682.721014302,28907309.972074814,57963349.35761084,29411.7201483057,29367.39333620521,434.34273582324386,434.34273582324386
60068.92652777778,3936762.9809368327,-463008.4340473588,-5619670.293577461,6199.871918183703,-492.54203215271167,4374.320070609982,-54.67480117636449,157.5257642593333,13234581.104478814,28907842.767730657,57961357.14160761,26907.31482032506,26867.067687394454,409.6567255668342,409.6567255668342
60068.926875,4120561.1489922665,-477527.48719857563,-5485367.115414596,6052.213556793841,-475.3057121463984,4578.406625716819,-52.77516776105808,157.49591836168744,13235486.334481575,28908505.843722906,57959435.97104703,24344.51496178527,24309.37368840529,383.10417172685266,383.10417172685266
60068.92722222222,4299829.058457539,-491521.52364641964,-5345016.120250098,5897.881861325484,-457.54411107731227,4777.4708463798315,-50.87550109475649,157.4580774927287,13236394.823994566,28909292.375871457,57957590.77627891,21734.571541954614,21705.563115075674,355.1878283880651,355.1878283880651
60068.927569444444,4474368.99387555,-504975.07390807266,-5198771.28344798,5737.043722097801,-439.27657434861425,4971.29335230686,-48.97580462717124,157.41337528864744,13237302.944106616,28910196.086361807,57955826.42702082,19088.935638681272,19066.817065086445,325.87412993237376,325.87412993237376
60068.92791666667,4643988.355885752,-517873.2578780388,-5046793.07686748,5569.873243244401,-420.5230412647136,5159.660333918196,-47.07608008429769,157.36274627780736,13238207.03790227,28911211.167726625,57954147.73051818,16419.208602704704,16404.271841426555,294.6414861343801,294.6414861343801
60068.92826388889,4808499.873050694,-530201.8008735348,-4889248.301338423,5396.551487805615,-401.30397466626374,5342.363742817769,-45.17632785688222,157.30696815643873,13239103.43504015,28912331.600596912,57952559.42422646,13737.091704159322,13729.194405394346,260.97976016253233,260.97976016253233
60068.928611111114,4967721.809099183,-541947.0505285196,-4726309.911126263,5217.266311707523,-381.6403334178348,5519.201447265732,-43.27654728776265,157.24669374713477,13239988.4660081,28913550.86343482,57951066.17129492,11054.335401636996,11053.076913617651,224.581482488662,224.581482488662
60068.92895833333,5121478.160731708,-553095.9887670919,-4558156.833376019,5032.212208826805,-361.5535657842605,5689.977438026844,-41.37673692906961,157.1824755181029,13240858.474240921,28914861.97042569,57949672.5734775,8382.688516258804,8387.463458660588,185.49012915417552,185.49012915417552
60068.92930555555,5269598.859174922,-563636.251719625,-4384973.781564394,4841.590143854714,-341.06560120228625,5854.5020377463,-39.476894697030694,157.1147845014368,13241709.835721184,28916257.48768508,57948383.12020502,5733.847356807442,5743.765671907582,144.21738404035568,144.21738404035568
