MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60068.91645833333,-2347129.071278422,100442.7778663073,-6454631.77064084,7115.107224838235,-701.390145840523,-2607.8962327932163,-70.12883043678167,-14.62534997035334,6862510.7623788435,28958910.859322246,58029987.821616806,44905.61447617576,44964.2083608095,0.0
60068.91680555556,-2132422.4088554694,79349.59541067126,-6529289.532457235,7197.35271205046,-704.692862165198,-2368.8401593205895,-72.03033530931489,-14.431391258212816,6862785.514674689,28954940.89602834,58027670.41794656,46558.59578535093,46627.36348458886,-10.595500115305185
60068.91715277778,-1915367.3768839105,58168.970849684556,-6596736.632744323,7271.65161505789,-707.2190850797804,-2127.2294452317524,-73.93099358922346,-14.164658107641998,6863062.981347957,28951090.578868046,58025329.94759388,48065.25325721327,48144.01389073557,-17.39909864962101
60068.9175,-1696203.552754224,36924.23948429921,-6656900.406559644,7337.926710392246,-708.9663450109944,-1883.3295359471954,-75.8305505404562,-13.795896950286505,6863343.043375338,28947365.91320865,58022967.40668944,49419.01005832439,49507.67521255912,-18.935665514320135
60068.91784722222,-1475172.6992813463,15638.796487173764,-6709716.18906608,7396.109661566844,-709.9330468168736,-1637.4081448404136,-77.7285921517839,-13.277811829809549,6863625.570031362,28943774.24483741,58020583.89142722,50613.969810486975,50712.109091693965,-15.216435637325048
60068.91819444444,-1252518.4910421185,-5663.929793158779,-6755127.374146288,7446.14113473775,-710.1184968825821,-1389.7346749958701,-79.62439974854155,-12.5286674951885,6863910.414699684,28940324.27246712,58018180.63344627,51644.94188717743,51751.67614026714,-8.069094870239496
60068.918541666666,-1028486.2545704921,-26960.50205750711,-6793085.454985892,7487.970512045004,-709.5228387347723,-1140.5797639656855,-81.516610462098,-11.394144222642824,6864197.405720698,28937023.6229549,58015759.07710045,52507.4635775112,52621.952990981554,0.7472208142280579
60068.91888888889,-803322.7055154378,-48227.498262072986,-6823550.062663737,7521.555684183605,-708.1469998283698,-890.2152258051066,-83.40229790683071,-9.54458915043214,6864486.34246874,28933877.615947925,58013320.912526585,53197.81893171948,53319.89794921787,10.644695691764355
60068.91923611111,-577275.6936721482,-69441.53729167562,-6846489.001724207,7546.863126663235,-705.9927555571016,-638.9140238422021,-85.27387675690242,-6.132665116699905,6864776.99738572,28930889.976675257,58010868.058398254,53713.05412766789,53844.54472407141,20.783065173774958
60068.919583333336,-350593.94488839386,-90579.30466760125,-6861878.276756628,7563.868118793259,-703.0627192370199,-386.95006547009143,-87.10422583574405,1.8077237800304229,6865069.115613894,28928064.229422666,58008402.66494784,54050.98953529144,54200.76803532064,24.91355609893799
60068.91993055555,-123526.79229663344,-111617.57541766526,-6869702.121998762,7572.55484986888,-699.3602440113116,-134.59774318757763,-88.70560692621761,32.46083815805609,6865362.424598207,28925404.12882373,58005927.03282385,54210.22813971012,54423.66318912907,-13.513122756034136
60068.920277777775,103676.09030724815,-132533.23601567466,-6869953.00293542,7572.916278778254,-694.8894325673258,117.86839611726344,-88.51536757421141,118.45763967140317,6865656.624803997,28922912.623840842,58003443.691378474,54190.16092598378,54243.01917981695,175.29442406445742
60068.920625,330764.94606867974,-153303.30708049994,-6862631.625876849,7564.95412335344,-689.655245867136,370.1737740942539,-86.84251921970542,142.4833173211593,6865951.396545654,28920591.93481073,58000955.340935186,53990.96841632448,53947.81156029554,302.84063040837646
60068.92097222222,557490.2043410875,-173904.97531028817,-6847746.9285629885,7548.678956502848,-683.663527048133,622.0440273161105,-85.00296804352068,149.3474817150777,6866246.395870543,28918444.28924223,57998464.8874428,53613.61899808438,53547.90569607528,359.93857074156404
60068.921319444446,783602.7443239391,-194315.60994189934,-6825316.073755527,7524.110233430702,-676.9209246575458,873.2053232155616,-83.12945624751522,152.43379577853395,6866541.261685034,28916472.139773913,57995975.382241555,53059.86353388656,52986.385227026374,404.10330686718225
60068.92166666667,1008854.1628462786,-214512.79535442457,-6795364.427838836,7491.2762933189515,-669.4348556039386,1123.3847331811703,-81.24384717170065,154.14531933264578,6866835.617015684,28914678.39374226,57993490.011340655,52332.2266751545,52256.06745717915,442.7962074652314
60068.92201388889,1232997.0377692343,-234474.34897234477,-6757925.525411388,7450.2141963442045,-661.2135399306304,1372.310654525489,-79.35263677674062,155.209042909158,6867129.064341541,28913065.724660244,57991012.13471867,51433.99494558526,51357.3878662372,476.2682584412396
60068.92236111111,1455785.1859190993,-254178.34540141496,-6713041.0248647835,7400.9694850926035,-652.2660236438633,1619.712994822215,-77.45841496212257,155.9171790620628,6867421.179599054,28911635.235234007,57988545.33679847,50369.2015424738,50293.29503662116,504.05259408801794
60068.92270833333,1676973.9185516245,-273603.14613754256,-6660760.66695693,7343.596184687854,-642.6021339366171,1865.3232368045005,-75.56241234853522,156.4094261168138,6867711.516540336,28910386.602032352,57986093.38955813,49142.607679058936,49068.25540596463,525.7781860604882
60068.923055555555,1896320.29431724,-292727.41427317896,-6601142.219380143,7278.156853933431,-632.232401644319,2108.8747210482093,-73.66528604352018,156.76087113491212,6867999.603607199,28909318.79461164,57983660.278787464,47759.680976617776,47687.846545637076,540.883696436882
