MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60068.91645833333,-172619.12525542482,-1142209.7768452282,-6797831.541212993,-5189.624807973027,5484.081175261146,-790.228959549718,-80.37577990671763,70.00040776419193,6888927.5742391255,28815906.896446884,57807682.51422315,51445.59084357611,51639.88883779039,0.0
60068.91680555556,-328185.72713109717,-977095.6971437192,-6817824.728847221,-5180.541357194601,5522.525382468908,-542.5309632033792,-81.44474772040235,59.961371881423794,6888942.325302145,28815317.59982571,57807559.8917405,51914.07548562846,52122.42470788589,-15.861731570214033
60068.91715277778,-483395.22822151176,-810918.3729715956,-6830377.577269813,-5165.82028231684,5554.957894092954,-294.25088132740575,-82.19733954188841,47.595641887181934,6888954.115119296,28814919.987751808,57807461.71477697,52211.762934998354,52423.786896373305,-17.788809686899185
60068.9175,-638078.728817937,-643858.6848301414,-6835476.631792998,-5145.477831223066,5581.344447576468,-45.655827257954336,-82.53722921465688,33.416447058001715,6888962.984396608,28814716.20433165,57807387.63892458,52337.361891846296,52536.84810958784,-1.1424551382660866
60068.91784722222,-792067.9030905018,-476098.44631625235,-6833116.451434572,-5119.536049646127,5601.657099569775,202.98683911614506,-82.40878425509624,18.83987709207356,6888968.952688114,28814707.640820548,57807337.49884392,52290.32861223218,52463.28636237329,30.84272252768278
60068.91819444444,-945195.1753955377,-307820.2159362027,-6823299.618527121,-5088.022825964577,5615.874274397837,451.4097982535104,-81.83407615308298,5.52376168885951,6888972.023758455,28814895.474669635,57807311.263308324,52070.86910036694,52214.15690311322,65.90279709920287
60068.918541666666,-1097293.8935233403,-139207.09980435768,-6806036.730334238,-5050.9718252647235,5623.980681206429,699.3461034153883,-80.89723859790915,-5.58621924694745,6888972.180200266,28815280.027281735,57807309.0803251,51679.93832501522,51799.267324192726,94.05678069218993
60068.91888888889,-1248198.499349455,29557.42500707344,-6781346.383672137,-5008.422432173809,5625.9672520784225,946.5293113394308,-79.69657631995409,-14.414968050429655,6888969.379332155,28815860.258892678,57807331.311516866,51119.23616390352,51221.945441384574,113.3782443292439
60068.91923611111,-1397744.704221977,198289.70787921455,-6749255.160521105,-4960.419718092698,5621.831258565141,1192.6936493631813,-78.31311274537629,-21.32759167355782,6888963.55710741,28816634.310327113,57807378.49933863,50391.19997138206,50482.51849707566,125.94157596305013
60068.919583333336,-1545769.6533336947,366806.10956625943,-6709797.601661301,-4907.014357996116,5611.576392408663,1437.5742728354737,-76.80420834207565,-26.766083063893834,6888954.626268851,28817599.65366835,57807451.38252831,49498.99412679876,49581.81134491351,134.18857657164335
60068.91993055555,-1692112.0995034857,534923.2007471607,-6663016.178287878,-4848.262615831704,5595.212728793387,1680.9074986853955,-75.20819040545561,-31.10469116664245,6888942.481902439,28818752.94582981,57807550.84952479,48446.49625121697,48522.27106347756,139.90369302779436
60068.920277777775,-1836612.5647272842,702457.9474563862,-6608961.249653098,-4784.226443191923,5572.756679102648,1922.4310234460986,-73.55038355221609,-34.62549948854547,6888926.998099549,28820090.35206402,57807677.966422215,47238.280600728176,47307.8301367962,144.05528292432427
60068.920625,-1979113.516862297,869227.9036698439,-6547691.019674702,-4714.9735376123845,5544.231002496694,2161.8843157866118,-71.84769600504282,-37.5328737176822,6888908.034936809,28821608.33213734,57807833.91842186,45879.59816503366,45943.368905061114,146.48844098299742
60068.92097222222,-2119459.540242511,1035051.3995838246,-6479271.477557685,-4640.5771252929735,5509.664742922183,2399.0090080264026,-70.11163796759395,-39.97370614129798,6888885.436775203,28823302.92789199,57808020.024054654,44376.354045871725,44434.40520484087,146.9620193503797
60068.921319444446,-2257497.49289512,1199747.7336866625,-6403776.327446307,-4561.115720024829,5469.093188097066,2633.5489815950486,-68.3502219553648,-42.0542200066653,6888859.024781957,28825168.575003825,57808237.79783583,42735.08216175962,42787.13613676785,146.35775675997138
60068.92166666667,-2393076.669146764,1363137.3528405786,-6321286.9240636425,-4476.673098730478,5422.557933726501,2865.250453275702,-66.56915226084692,-43.85216695422936,6888828.602112757,28827198.368756987,57808488.9067768,40962.917011432495,41008.48998519861,146.3190961405635
60068.92201388889,-2526048.955108993,1525042.0492006005,-6231892.1983676,-4387.338326887911,5370.10689201405,3093.8622271626973,-64.77257737605993,-45.425288870773336,6888793.957243162,28829384.55345027,57808775.142409496,39067.56288291175,39106.08509411695,148.77492663264275
60068.92236111111,-2656268.9893298964,1685285.1483359286,-6135688.572195058,-4293.205741526822,5311.794266549899,3319.13595622484,-62.9635743636188,-46.81711658256674,6888754.865398081,28831718.68256791,57809098.40875336,37057.26061234291,37088.22717883213,155.7700681425631
60068.92270833333,-2783594.3161788965,1843691.692700149,-6032779.874922152,-4194.374949761517,5247.680572096336,3540.826372602181,-61.144467103695135,-48.060953096905095,6888711.095598608,28834192.003429685,57809460.66318224,34940.752041046326,34963.91824115049,169.0125729329884
60068.923055555555,-2907885.5509390123,2000088.6383626382,-5923277.242098627,-4090.9508377509123,5177.832700006532,3758.6916514252425,-59.31703952616257,-49.18263496676849,6888662.417094039,28836796.578322817,57809863.86243986,32727.242155201304,32742.761283179225,188.79389539361
60068.92340277778,-3029006.5313823815,2154305.0425622924,-5807299.008112288,-3983.0434011037687,5102.323848980923,3972.493844737046,-57.48268154238046,-50.202470070981,6888608.602418318,28839525.370714746,57810309.936950594,30426.35941177396,30434.784417251034,214.05288012325764
60068.92375,-3146824.469636196,2306172.2520733345,-5684970.582852792,-3870.767556176938,5021.2333968435205,4181.999113373373,-55.64249071063399,-51.13661588766529,6888549.425658091,28842371.441892195,57810800.80527311,28048.11422571474,28050.340386891145,243.29405554756522
60068.924097222225,-3261210.0969933304,2455524.0840204037,-5556424.326390987,-3754.243094720089,4934.646886017739,4386.9780147620595,-53.79734442340581,-51.99807330992634,6888484.662635518,28845328.602971848,57811338.37249806,25602.855846512124,25600.070072607297,273.9705151282251
60068.92444444444,-3372037.81156295,2602197.0172915636,-5421799.41265224,-3633.5944547962654,4842.655847425223,4587.205953214419,-51.94795187971266,-52.79741306632986,6888414.095665348,28848391.38786684,57811924.4902881,23101.227580042152,23094.771987008353,302.60149577632546
60068.924791666665,-3479185.809339027,2746030.36046029,-5281241.678126284,-3508.9504467988145,4745.357492241695,4782.463204718594,-50.094892239838494,-53.543313426370005,6888337.499589818,28851552.63587562,57812561.073898375,20554.121069940273,20545.245114555466,327.46396972611547
60068.92513888889,-3582536.216645497,2886866.421567301,-5134903.477574006,-3380.4443582769836,4642.854744745451,4972.534892374173,-48.2386429891588,-54.2429632454449,6888254.642075258,28854803.748045333,57813250.09962227,17972.629311366265,17962.234941339975,348.3876971229911
60068.92548611111,-3681975.225842137,3024550.686504172,-4982943.537727207,-3248.213926710973,4535.256304783551,5157.211447630424,-46.37960124842765,-54.90236764853474,6888165.29496976,28858136.689664185,57813993.50948611,15367.998637327153,15356.517265467417,364.57361797988415
60068.925833333335,-3777393.2262877794,3158931.984348029,-4825526.783998515,-3112.4010003344756,4422.676458962294,5336.288913030212,-44.51809994687234,-55.52658229185024,6888069.226424274,28861543.205435727,57814793.27724095,12751.580113559263,12739.067019816972,375.2758469283581
60068.92618055556,-3868684.9182961253,3289862.655608751,-4662824.178229691,-2973.151374978629,4305.234963901502,5509.56901104697,-42.65442039955493,-56.11989495933306,6887966.201916013,28865013.940213185,57815651.39971246,10134.780541742697,10121.064044354029,380.66651644557714
60068.92652777778,-3955749.4367565047,3417198.7150895325,-4495012.543417959,-2830.614775227725,4183.0569596584955,5676.859300045238,-40.78880202440268,-56.68596747808942,6887855.986503154,28868538.5229975,57816569.87782379,7529.013063663791,7513.705981285452,381.91990653425455
60068.926875,-4038490.4693948794,3540800.011419636,-4322274.384454325,-2684.9448331626186,4056.2729213682733,5837.973369234884,-38.92145000296682,-57.227947729823796,6887738.348300244,28872105.91482393,57817550.687380135,4945.647746428639,4928.098819768641,380.9447979591787
60068.92722222222,-4116816.3663470796,3660530.3863857314,-4144797.7058814075,-2536.2989565741054,3925.018665455908,5992.731130475447,-37.05254139404728,-57.74855887108212,6887613.062930861,28875705.16173285,57818595.74165235,2395.9623779408935,2375.3033319404612,379.5476490817964
60068.927569444444,-4190640.25670142,3776257.838000788,-3962775.8166356343,-2384.8381023554416,3789.435249246208,6140.9591373705525,-35.18222993123158,-58.250170914888905,6887479.924302136,28879325.704765428,57819706.80093109,-108.90650074727176,-133.5869256385475,378.9541528224945
60068.92791666667,-4259880.145192582,3887854.670073307,-3776407.122833674,-2230.7265871701657,3649.6688201811044,6282.49085824749,-33.310649940838225,-58.734858648719744,6887338.7388976365,28882957.493836638,57820885.520298965,-2558.011869177092,-2587.4189543951375,379.7164782471955
60068.92826388889,-4324459.01896937,3995197.645798696,-3585894.9235363123,-2074.131895057636,3505.870448764489,6417.166974530381,-31.43791951058677,-59.204448784774605,6887189.339180105,28886591.350309446,57822133.33712205,-4940.64375456726,-4975.089946552925,381.3478206843138
60068.928611111114,-4384304.930666642,4098168.133359827,-3391447.181565339,-1915.224461358472,3358.1958629139067,6544.835625562962,-29.564143032310646,-59.66055873848431,6887031.573949743,28890218.778358027,57823451.551812455,-7246.375839626574,-7285.8402356228125,382.8847515769303
60068.92895833333,-4439351.089650357,4196652.235410224,-3193276.3063015738,-1754.1774937473258,3206.805192922834,6665.352503613971,-27.68941339545609,-60.10462850689436,6886865.310549576,28893831.111179765,57824841.309229024,-9465.110773388786,-9509.415422382373,383.8845331668854
60068.92930555555,-4489535.942396817,4290540.926785782,-2991598.9185075336,-1591.166849408813,3051.8628668137035,6778.580927304344,-25.81381370868541,-60.537947298142406,6886690.434937335,28897419.144254074,57826303.59796887,-11587.124248853075,-11635.979482094426,384.704258415848
60068.92965277778,-4534803.247280007,4379730.176088739,-2786635.626162234,-1426.3709012000081,2893.53753094401,6884.392064009274,-23.937418879524223,-60.96167575466761,6886506.852924805,28900973.740882773,57827839.239863165,-13603.107344180904,-13656.11612730815,385.8861692249775
60068.93,-4575102.149239919,4464121.073525074,-2578610.7772963657,-1259.9703074767667,2732.001848179082,6982.665200047393,-22.06029678411074,-61.376864718450484,6886314.493671857,28904486.285064958,57829448.86055024,-15504.207309192783,-15560.863378001362,387.7099248059094
