MJD,x,y,z,xv,yv,zv,lat,lon,alt,kinetic_energy,monopole,U_j2,U_non_spherical,HOT_total_diff
60068.91645833333,-172595.137444898,-1142239.765478742,-6797574.833602441,-5189.569007347999,5484.497477535336,-790.3354131055796,-80.37520592632713,70.00176387366545,6888678.862215659,28817984.564163562,57809767.70437395,51450.89725022683,51645.217375658496,0.0
60068.91680555556,-328160.06644694787,-977113.1189277706,-6817570.953371412,-5180.485477648859,5522.946698025012,-542.6198829405071,-81.4443604251823,59.96300346481182,6888692.648808385,28817403.175359245,57809653.15961611,51919.56026657627,52127.935875572904,-15.87445343285799
60068.91715277778,-483367.8831061798,-810923.0937646125,-6830126.202957348,-5165.763770423645,5555.383125880559,-294.32202035701704,-82.1971324084489,47.597206097432945,6888703.746248546,28817011.2294035,57809560.78075048,52217.37768725581,52429.43200044323,-17.803488187491894
60068.9175,-638049.6709868921,-643850.6032158397,-6835227.122709111,-5145.420134329643,5581.77248354148,-45.70901578928825,-82.5371709241182,33.41739819410921,6888712.197197062,28816810.865455065,57809490.20698897,52343.05709991497,52542.57467788821,-1.155978713184595
60068.91784722222,-792037.0907120596,-476077.49628111743,-6832868.267673901,-5119.476619141745,5602.086816164249,202.951693183069,-82.40881434689332,18.839748074424527,6888718.022091872,28816803.46977308,57809441.265593976,52296.05413168536,52469.03971206256,30.833274103701115
60068.91819444444,-945162.5466215818,-307786.3622735682,-6823052.21822839,-5087.961120817201,5616.304541233437,451.39270933570504,-81.83412195737627,5.522471124852709,6888721.223916781,28816990.222434092,57809413.93189772,52076.57469728192,52219.88488631289,65.90174258872867
60068.918541666666,-1097259.3726803565,-139160.34557259845,-6805789.571666122,-5050.907314671768,5624.410364966247,699.347008352744,-80.89723885379186,-5.588427247615822,6888721.784895928,28817371.446518227,57809408.35701186,51685.574120484605,51804.921390859396,94.06626804918051
60068.91888888889,-1248161.9945198481,29617.047302635736,-6781098.929838985,-5008.354598981701,5626.395219897685,946.5480699023033,-79.69649045893395,-14.417777141909049,6888719.66363473,28817946.10413222,57809424.89179014,51124.75308820542,51227.47835678849,113.38646639883518
60068.91923611111,-1397706.1083094245,198362.12892957835,-6749006.878760308,-4960.348061562899,5622.2563823465625,1192.7300449584852,-78.3129173140776,-21.33075380213263,6888714.794106504,28818712.34041707,57809464.09531032,50396.550294311775,50487.88343190044,125.94862662628293
60068.919583333336,-1545728.8448981512,366891.22825707507,-6709547.96824159,-4906.938397183057,5611.997552993563,1437.6280132141546,-76.80389069999067,-26.76943733358779,6888707.089482801,28819667.636466626,57809526.702740915,49504.13185776891,49586.96240264554,134.1810369156301
60068.91993055555,-1692068.9417792538,535020.8813644956,-6662764.676511436,-4848.181891812211,5595.628819763568,1680.9782175473342,-75.20774407520169,-31.108141053557286,6888696.440419603,28820808.65626653,57809613.63968635,48451.37768327787,48527.16448163439,139.8961034603417
60068.920277777775,-1836566.9077446368,702568.0212945378,-6608707.376850856,-4784.140522405205,5573.166610871224,1922.5182818475046,-73.5498054788836,-34.628988990141266,6888682.721225956,28822131.577343635,57809725.970439695,47242.8646204531,47312.425007984486,144.04525334760547
60068.920625,-1979065.2000696226,869350.1684350534,-6547434.287200428,-4714.882014166329,5544.633705932324,2161.987604245104,-71.84698505117689,-37.53637084497537,6888665.790184103,28823632.87068972,57809864.89526494,45883.846672256164,45947.627365449305,146.47437504306436
60068.92097222222,-2119408.3883092958,1035185.6245586303,-6479011.412797588,-4640.479624946291,5510.059173354133,2399.1277488298515,-70.11079413572618,-39.9771930673749,6888645.488664235,28825308.599305548,57810031.75778148,44380.2323508188,44438.2925029292,146.9431382790208
